SKU,Item Name,Customer-facing Name,Default Vendor Name,Reporting Category,Default Vendor Code,Default Unit Cost,Current Selling Price,Current Gross Margin %,Current Markup %,Suggested Selling Price,Suggested Gross Margin %,Suggested Markup %,Target Gross Margin %,Minimum Dollar Profit,Cost Band,Strategy Tags,Rounding Profile,Pricing Rule,Pricing Action,Pricing Notes,Strategy Notes,Sales Demand Tier,Sales Lines,Sales Quantity Sold,Sales Net Sales,Average Realized Unit Price,Sales Signal Trusted,Sales Match Types,Sales Pricing Note,Last Price Update Date,Last Price Update Reason,Override Notes
1033,REPAIR KIT FOR DK-4.5 DIRT KILLER,REPAIR KIT FOR DK-4.5 DIRT KILLER,Barrens,Barrens,1033,79.83,,,,103.99,23.2%,30.3%,23.0%,10.00,50-99.99,"bundle, commodity_part",ending_.99,50-99.99 + bundle + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 50-99.99. Bundle or bulk packaging gets a modest premium. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1034,DK-4.5 YELLOW DIRT KILLER NOZZLE 3200PSI,DK-4.5 YELLOW DIRT KILLER NOZZLE 3200PSI,Barrens,Barrens,1034,106.06,,,,134.99,21.4%,27.3%,19.0%,16.00,100-249.99,commodity_part,ending_5_minus_.01,100-249.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 100-249.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1035,REPAIR KIT FOR IDK-8 DIRT KILLER,REPAIR KIT FOR IDK-8 DIRT KILLER,Barrens,Barrens,1035,108.85,,,,139.99,22.2%,28.6%,21.0%,16.00,100-249.99,"bundle, commodity_part",ending_5_minus_.01,100-249.99 + bundle + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 100-249.99. Bundle or bulk packaging gets a modest premium. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1036,IDK-8.0 RED DIRT KILLER NOZZLE 4700PSI,IDK-8.0 RED DIRT KILLER NOZZLE 4700PSI,Barrens,Barrens,1036,181.42,,,,224.99,19.4%,24.0%,19.0%,16.00,100-249.99,commodity_part,ending_5_minus_.01,100-249.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 100-249.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1037,GASKET KIT GX270,GASKET KIT GX270,Barrens,Barrens,1037,8.59,,,,12.99,33.9%,51.2%,30.0%,3.00,5-9.99,bundle,ending_.99,5-9.99 + bundle,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Bundle or bulk packaging gets a modest premium.,,,,,,,,,,,
1038,REPAIR KIT FOR IDK-5.5 DIRT KILLER,REPAIR KIT FOR IDK-5.5 DIRT KILLER,Barrens,Barrens,1038,108.85,,,,139.99,22.2%,28.6%,21.0%,16.00,100-249.99,"bundle, commodity_part",ending_5_minus_.01,100-249.99 + bundle + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 100-249.99. Bundle or bulk packaging gets a modest premium. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1039,IDK-5.5 BLACK DIRT KILLER NOZZLE 4700PSI,IDK-5.5 BLACK DIRT KILLER NOZZLE 4700PSI,Barrens,Barrens,1039,181.42,,,,224.99,19.4%,24.0%,19.0%,16.00,100-249.99,commodity_part,ending_5_minus_.01,100-249.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 100-249.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1043,1/8 MEG 25035 WASHJET SPRAY NOZZLE,1/8 MEG 25° 3.5 WASHJET SPRAY NOZZLE,Barrens,Barrens,1043,5.34,,,,8.99,40.6%,68.4%,32.0%,3.00,5-9.99,"chemical, commodity_part",ending_.99,5-9.99 + chemical + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Chemical/restoration products carry a stronger margin target. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1044,1/8 MEG 1504 WASHJET SPRAY NOZZLE,1/8 MEG 15° 4.0 WASHJET SPRAY NOZZLE,Barrens,Barrens,1044,5.34,,,,8.99,40.6%,68.4%,32.0%,3.00,5-9.99,"chemical, commodity_part",ending_.99,5-9.99 + chemical + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Chemical/restoration products carry a stronger margin target. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1045,1/8 MEG 15035 WASHJET SPRAY NOZZLE,1/8 MEG 15° 3.5 WASHJET SPRAY NOZZLE,Barrens,Barrens,1045,5.34,,,,8.99,40.6%,68.4%,32.0%,3.00,5-9.99,"chemical, commodity_part",ending_.99,5-9.99 + chemical + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Chemical/restoration products carry a stronger margin target. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1046,"RLW40 DUMP GUN 16"" SS WAND 1/8FPT OUTLET","RLW40 DUMP GUN 16"" SS WAND 1/8FPT OUTLET",Barrens,Barrens,1046,107.59,,,,139.99,23.1%,30.1%,22.0%,16.00,100-249.99,,ending_5_minus_.01,100-249.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 100-249.99.,,,,,,,,,,,
1048,QC-MEG 2508 SPRAY NOZZLE GREEN HEAD,QC-MEG 2508 SPRAY NOZZLE GREEN HEAD,Barrens,Barrens,1048,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1049,QC-MEG 2507 SPRAY NOZZLE GREEN HEAD,QC-MEG 2507 SPRAY NOZZLE GREEN HEAD,Barrens,Barrens,1049,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1053,QC-MEG 25065 SPRAY NOZZLE GREEN HEAD,QC-MEG 25065 SPRAY NOZZLE GREEN HEAD,Barrens,Barrens,1053,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1054,QC-MEG 2506 SPRAY NOZZLE GREEN HEAD,QC-MEG 2506 SPRAY NOZZLE GREEN HEAD,Barrens,Barrens,1054,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1055,QC-MEG 25055 SPRAY NOZZLE GREEN HEAD,QC-MEG 25055 SPRAY NOZZLE GREEN HEAD,Barrens,Barrens,1055,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1057,QC-MEG 2505 SPRAY NOZZLE GREEN HEAD,QC-MEG 2505 SPRAY NOZZLE GREEN HEAD,Barrens,Barrens,1057,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1058,QC-MEG 25045 SPRAY NOZZLE GREEN HEAD,QC-MEG 25045 SPRAY NOZZLE GREEN HEAD,Barrens,Barrens,1058,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1059,5' POLYBRAID HOSE W/DETERGENT FILTER,5' POLYBRAID HOSE W/DETERGENT FILTER,Barrens,Barrens,1059,3.66,,,,5.99,38.9%,63.7%,36.0%,2.00,0-4.99,chemical,ending_.99,0-4.99 + chemical,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 0-4.99. Chemical/restoration products carry a stronger margin target.,,,,,,,,,,,
1060,QC-MEG 2504 SPRAY NOZZLE GREEN HEAD,QC-MEG 2504 SPRAY NOZZLE GREEN HEAD,Barrens,Barrens,1060,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1061,QC-MEG 1508 SPRAY NOZZLE YELLOW HEAD,QC-MEG 1508 SPRAY NOZZLE YELLOW HEAD,Barrens,Barrens,1061,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1062,QC-MEG 1507 SPRAY NOZZLE YELLOW HEAD,QC-MEG 1507 SPRAY NOZZLE YELLOW HEAD,Barrens,Barrens,1062,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1063,QC-MEG 15065 SPRAY NOZZLE YELLOW HEAD,QC-MEG 15065 SPRAY NOZZLE YELLOW HEAD,Barrens,Barrens,1063,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1065,QC-MEG 1506 SPRAY NOZZLE YELLOW HEAD,QC-MEG 1506 SPRAY NOZZLE YELLOW HEAD,Barrens,Barrens,1065,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1071,QC-MEG 15055 SPRAY NOZZLE YELLOW HEAD,QC-MEG 15055 SPRAY NOZZLE YELLOW HEAD,Barrens,Barrens,1071,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1072,QC-MEG 1505 SPRAY NOZZLE YELLOW HEAD,QC-MEG 1505 SPRAY NOZZLE YELLOW HEAD,Barrens,Barrens,1072,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1074,QC-MEG 15045 SPRAY NOZZLE YELLOW HEAD,QC-MEG 15045 SPRAY NOZZLE YELLOW HEAD,Barrens,Barrens,1074,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1076,QC-MEG 1504 SPRAY NOZZLE YELLOW HEAD,QC-MEG 1504 SPRAY NOZZLE YELLOW HEAD,Barrens,Barrens,1076,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1077,QC-MEG 0008 SPRAY NOZZLE RED HEAD,QC-MEG 0008 SPRAY NOZZLE RED HEAD,Barrens,Barrens,1077,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1078,QC-MEG 0007 SPRAY NOZZLE RED HEAD,QC-MEG 0007 SPRAY NOZZLE RED HEAD,Barrens,Barrens,1078,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1079,QC-MEG 00065 SPRAY NOZZLE RED HEAD,QC-MEG 00065 SPRAY NOZZLE RED HEAD,Barrens,Barrens,1079,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1080,QC-MEG 0006 SPRAY NOZZLE RED HEAD,QC-MEG 0006 SPRAY NOZZLE RED HEAD,Barrens,Barrens,1080,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1081,QC-MEG 00055 SPRAY NOZZLE RED HEAD,QC-MEG 00055 SPRAY NOZZLE RED HEAD,Barrens,Barrens,1081,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1082,QC-MEG 0005 SPRAY NOZZLE RED HEAD,QC-MEG 0005 SPRAY NOZZLE RED HEAD,Barrens,Barrens,1082,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1084,QC-MEG 00045 SPRAY NOZZLE RED HEAD,QC-MEG 00045 SPRAY NOZZLE RED HEAD,Barrens,Barrens,1084,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1085,QC-MEG 0004 SPRAY NOZZLE RED HEAD,QC-MEG 0004 SPRAY NOZZLE RED HEAD,Barrens,Barrens,1085,5.48,,,,8.99,39.0%,64.1%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1086,1/4 MEG 4020 WASHJET SPRAY NOZZLE,1/4 MEG 40° 20.0 WASHJET SPRAY NOZZLE,Barrens,Barrens,1086,5.39,,,,8.99,40.0%,66.8%,32.0%,3.00,5-9.99,"chemical, commodity_part",ending_.99,5-9.99 + chemical + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Chemical/restoration products carry a stronger margin target. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1087,1/4 MEG 4015 WASHJET SPRAY NOZZLE,1/4 MEG 40° 15.0 WASHJET SPRAY NOZZLE,Barrens,Barrens,1087,5.39,,,,8.99,40.0%,66.8%,32.0%,3.00,5-9.99,"chemical, commodity_part",ending_.99,5-9.99 + chemical + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Chemical/restoration products carry a stronger margin target. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1088,1/4 MEG 4013 WASHJET SPRAY NOZZLE,"1/4"" MEG 40° 13.0 Orifice WashJet Spray Nozzle",Barrens,Barrens,1088,5.39,,,,8.99,40.0%,66.8%,31.0%,3.00,5-9.99,"chemical, equipment",ending_.99,5-9.99 + chemical + equipment,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Chemical/restoration products carry a stronger margin target. Larger equipment uses a thinner margin target.,,,,,,,,,,,
1089,1/4 MEG 4012 WASHJET SPRAY NOZZLE,1/4 MEG 40° 12.0 WASHJET SPRAY NOZZLE,Barrens,Barrens,1089,5.39,,,,8.99,40.0%,66.8%,32.0%,3.00,5-9.99,"chemical, commodity_part",ending_.99,5-9.99 + chemical + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Chemical/restoration products carry a stronger margin target. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1090,1/4 MEG 4011 WASHJET SPRAY NOZZLE,1/4 MEG 40° 11.0 WASHJET SPRAY NOZZLE,Barrens,Barrens,1090,5.39,,,,8.99,40.0%,66.8%,32.0%,3.00,5-9.99,"chemical, commodity_part",ending_.99,5-9.99 + chemical + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Chemical/restoration products carry a stronger margin target. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1092,1/4 MEG 4010 WASHJET SPRAY NOZZLE,1/4 MEG 40° 10.0 WASHJET SPRAY NOZZLE,Barrens,Barrens,1092,5.39,,,,8.99,40.0%,66.8%,32.0%,3.00,5-9.99,"chemical, commodity_part",ending_.99,5-9.99 + chemical + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Chemical/restoration products carry a stronger margin target. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1093,1/4 MEG 4009 WASHJET SPRAY NOZZLE,1/4 MEG 40° 9.0 WASHJET SPRAY NOZZLE,Barrens,Barrens,1093,5.39,,,,8.99,40.0%,66.8%,32.0%,3.00,5-9.99,"chemical, commodity_part",ending_.99,5-9.99 + chemical + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Chemical/restoration products carry a stronger margin target. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1095,1/4 MEG 4008 WASHJET SPRAY NOZZLE,1/4 MEG 40° 8.0 WASHJET SPRAY NOZZLE,Barrens,Barrens,1095,5.39,,,,8.99,40.0%,66.8%,32.0%,3.00,5-9.99,"chemical, commodity_part",ending_.99,5-9.99 + chemical + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Chemical/restoration products carry a stronger margin target. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1096,1/4 MEG 4007 WASHJET SPRAY NOZZLE,1/4 MEG 40° 7.0 WASHJET SPRAY NOZZLE,Barrens,Barrens,1096,5.39,,,,8.99,40.0%,66.8%,32.0%,3.00,5-9.99,"chemical, commodity_part",ending_.99,5-9.99 + chemical + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Chemical/restoration products carry a stronger margin target. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1098,1/4 MEG 40065 WASHJET SPRAY NOZZLE,1/4 MEG 40° 6.5 WASHJET SPRAY NOZZLE,Barrens,Barrens,1098,5.39,,,,8.99,40.0%,66.8%,32.0%,3.00,5-9.99,"chemical, commodity_part",ending_.99,5-9.99 + chemical + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Chemical/restoration products carry a stronger margin target. Commodity replacement parts stay more competitive.,,,,,,,,,,,
