Sales Category,Sales Item,Sales SKU,Sales GTIN,Sales Lines,Quantity Sold,Gross Sales,Discounts,Net Sales,First Sale Date,Last Sale Date,Match Type,Match Accepted,Match Score,Second Best Score,Matched Master SKU,Matched Catalog Item,Matched Vendor,Matched Catalog Price,Matched Catalog Cost,Match Reason,Top Candidate 1 Score,Top Candidate 1 Item,Top Candidate 1 SKU,Top Candidate 1 Vendor,Top Candidate 1 Reason,Top Candidate 2 Score,Top Candidate 2 Item,Top Candidate 2 SKU,Top Candidate 2 Vendor,Top Candidate 2 Reason,Top Candidate 3 Score,Top Candidate 3 Item,Top Candidate 3 SKU,Top Candidate 3 Vendor,Top Candidate 3 Reason
Sweep Away,Sweep Away Oil Stain Eliminator 30 lbs.,V868813,,11,11,1760.00,0.00,1760.00,2025-03-24,2026-02-25,unmatched,N,0.232,0.212,,,,,,category fit,0.232,White Water - 4 Gallon Case (per gallon),TDC-WHITEWTERG,Trident,category fit,0.212,Wipe Out - 4 Gallon Case (per gallon),TDC-WIPEOUTG,Trident,category fit,0.191,Point Break - 4 Gallon Case (per gallon),TDC-POINTBREAKG,Trident,category fit
Chemicals,VIRGIN DI RESIN 1 cubic ft,Z810173,,7,7,1615.00,-5.00,1610.00,2025-03-18,2026-03-09,unmatched,N,0.312,0.301,,,,,,category fit,0.312,Viton ORing for Injector,BV75008,MPWSR,category fit,0.301,Whisper Wash Rivet/Clip Set,WW3116,MPWSR,category fit,0.294,Wiring Harness,32105-Z6L-000,MPWSR,category fit
None,be pressure washer,151753H,,1,1,1550.00,0.00,1550.00,2025-10-30,2025-10-30,unmatched,N,0.400,0.392,,,,,,2 shared tokens,0.400,"BOX, PRESSURE WASHER ID: 572x540x558mm",85.650.024,BE,2 shared tokens,0.392,GP 1/8 MPT 0° 2.0 Pressure Washer Spray Nozzle,5300,Barrens,2 shared tokens,0.392,"GP 1/4"" MPT 0° 4.0 Pressure Washer Spray Nozzle",1830,Barrens,2 shared tokens
None,predator motor,,,1,1,1350.00,0.00,1350.00,2025-04-18,2025-04-18,unmatched,N,0.333,0.270,,,,,,1 shared tokens,0.333,"SH 1 1/8"" MOTOR BUSHING",SH1-1/8,MPWSR,1 shared tokens,0.270,STARTER MOTOR FOR BE-12000ER,85.591.231,BE,1 shared tokens,0.248,Set of Battery Cables for Electric Start Machines - Motor,BC-10,MPWSR,1 shared tokens
Tools,Foam Cannon,831402Z,,37,38,1349.00,-3.30,1345.70,2025-03-26,2026-03-03,unmatched,N,0.775,0.588,,,,,,"2 shared tokens, category fit, name contains match",0.775,PA FOAM CANNON,1654,Barrens,"2 shared tokens, category fit, name contains match",0.588,Foam Cannon PF 22,44.0254,MPWSR,"2 shared tokens, category fit, name contains match",0.556,(5)PA FOAM CANNON W/QT BOTTLE,1655,Barrens,"2 shared tokens, category fit, name contains match"
EBC,EBC Restorer - 5 Gallon,4731744,,8,8,1296.00,0.00,1296.00,2025-03-24,2026-02-23,unmatched,N,0.389,0.175,,,,,,"2 shared tokens, category fit",0.389,EBC Multipurpose Cleaner and Degreaser - 5 Gallon Pail,1007-24632,EnviroBioCleaner,"2 shared tokens, category fit",0.175,EBC Multipurpose Cleaner and Degreaser - 55 Gallon Kit,1007-24624,EnviroBioCleaner,"2 shared tokens, category fit, measure mismatch penalty",,,,,
Parts,SuperJet 100' Pressure Hose,D824748,,6,6,1290.00,0.00,1290.00,2025-04-23,2026-02-26,unmatched,N,0.319,0.312,,,,,,"3 shared tokens, category fit",0.319,"RAMP106-100: RAMPAGE 100' Smooth Gray 3/8"" Single Wire 4300 PSI High Pressure Hose",RAMP106-100,MPWSR,"3 shared tokens, category fit",0.312,"RAMP206-100: RAMPAGE BEAST 100' Smooth Gray 3/8"" Double Wire 7300 PSI High Pressure Hose",RAMP206-100,MPWSR,"3 shared tokens, category fit",0.306,"RAMP208-100: RAMPAGE BEAST 100' Smooth Gray 1/2"" Double Wire 6200 PSI High Pressure Hose",RAMP208-100,MPWSR,"3 shared tokens, category fit"
Chemicals,VIRGIN DI RESIN 1/2 cubic  ft,693127M,,8,8,1288.00,0.00,1288.00,2025-04-01,2026-02-02,unmatched,N,0.373,0.357,,,,,,"1 shared tokens, category fit",0.373,Hurricane Cat 5 Half Kit,TDS-HURRICAT5H,Trident,"1 shared tokens, category fit",0.357,Duraview 1/2MPT Inlet Filter,100651,MPWSR,"1 shared tokens, category fit",0.345,3/4 x 1/2 PVC Reducer,MPWSR-3-4-X-1-2-PVC-REDUCER,MPWSR,"1 shared tokens, category fit"
EBC,EBC Multipurpose 1 Gallon,940426E,,25,32,1244.00,0.00,1244.00,2025-03-31,2026-02-27,unmatched,N,0.372,0.286,,,,,,"3 shared tokens, category fit, measure mismatch penalty",0.372,EBC Multipurpose Cleaner and Degreaser - 5 Gallon Pail,1007-24632,EnviroBioCleaner,"3 shared tokens, category fit, measure mismatch penalty",0.286,EBC Multipurpose Cleaner and Degreaser - 55 Gallon Kit,1007-24624,EnviroBioCleaner,"3 shared tokens, category fit, measure mismatch penalty",,,,,
Trident,Barrier,497044M,,3,3,1350.00,-119.80,1230.20,2025-08-08,2025-09-29,unmatched,N,0.237,0.234,,,,,,category fit,0.237,Safe Harbor - 5 Gallon Pail,TDC-SAFEHARBRP,Trident,category fit,0.234,Safe Harbor - 4 Gallon Case (per gallon),TDC-SAFEHARBRG,Trident,category fit,0.229,Hurricane Cat 5 Half Kit,TDS-HURRICAT5H,Trident,category fit
Tools,"Whisper Wash Ground Force 24""",WP-2400,,1,1,1195.00,0.00,1195.00,2025-11-11,2025-11-11,unmatched,N,0.692,0.555,,,,,,"5 shared tokens, category fit, name contains match",0.692,Whisper Wash Ground Force 24 inch Surface Cleaner,WGF2400-2HFAL,MPWSR,"5 shared tokens, category fit, name contains match",0.555,Whisper wash Ground Force Hinge Block,GF505,MPWSR,"4 shared tokens, category fit",0.380,Whisper Wash Hydro-Flow Spray bar - Ground Force/Aqua Pro Aluminum,HF-AL-GF,MPWSR,"4 shared tokens, category fit"
F9,F9 Efflo - 1,f907062,,21,23,1184.50,0.00,1184.50,2025-03-26,2026-03-12,unmatched,N,0.345,0.264,,,,,,"1 shared tokens, category fit",0.345,F9 BARC Rust and Oxidation Remover - 1 Gallon,F9BC-G,Front9,"1 shared tokens, category fit",0.264,F9 Groundskeeper - 5 Gallon Pail,F9GK-P-5,Front9,"1 shared tokens, category fit, measure mismatch penalty",0.242,F9 Efflorescence and Calcium Remover - 5 Gallon Pail,F9EF-P-5,Front9,"1 shared tokens, category fit, measure mismatch penalty"
Sand,PolySweep PEARL,X588914,,12,28,1162.00,-13.52,1148.48,2025-03-25,2026-02-23,unmatched,N,0.535,0.000,,,,,,"2 shared tokens, category fit, name contains match",0.535,Polysweep - Pearl - 50 lb bag,TDP-POLYPEARL,Trident,"2 shared tokens, category fit, name contains match",,,,,,,,,,
None,Inseco,1051044,,3,3,1110.00,0.00,1110.00,2025-11-28,2025-12-08,unmatched,N,0.327,0.323,,,,,,"1 shared tokens, name contains match",0.327,DECK Rx Gallon Tinted by INSECO,6501X,INSECO,"1 shared tokens, name contains match",0.323,DECK Rx Five Tinted by INSECO,6505X,INSECO,"1 shared tokens, name contains match",0.289,CONCRETE STAIN Gallon Tinted by INSECO,6651X,INSECO,"1 shared tokens, name contains match"
Sand,PolySweep FIELDSTONE,T620051,,6,33,1072.50,0.00,1072.50,2025-05-20,2025-12-30,unmatched,N,0.558,0.000,,,,,,"2 shared tokens, category fit, name contains match",0.558,Polysweep - Fieldstone - 50 lb bag,TDP-POLYFLDSTN,Trident,"2 shared tokens, category fit, name contains match",,,,,,,,,,
Tucker,Tucker 40 Water Fed Pole,8812368,,1,1,995.00,0.00,995.00,2025-10-06,2025-10-06,unmatched,N,0.323,0.275,,,,,,"1 shared tokens, category fit",0.323,Bulb Changer Kit with Pole,48450,JRacenstein,"1 shared tokens, category fit",0.275,Pole Adapter Universal Ettore,45006,JRacenstein,"1 shared tokens, category fit",0.274,Ettore Cobweb Duster with 9ft Pole,31028,JRacenstein,"1 shared tokens, category fit"
None,"Plumbing Hoses, Valves, Fittings & Quick Connects",,,2,2,949.00,0.00,949.00,2025-12-11,2026-02-19,unmatched,N,0.376,0.376,,,,,,2 shared tokens,0.376,4' Aluminum Extension Wand Assembly With Quick Connects,AWA048,MPWSR,2 shared tokens,0.376,3' Aluminum Extension Wand Assembly With Quick Connects,AWA036,MPWSR,2 shared tokens,0.376,2' Aluminum Extension Wand Assembly With Quick Connects,AWA024,MPWSR,2 shared tokens
Tagaway/Taginator,Taginator 5 Gal.,F720264,,3,3,915.00,0.00,915.00,2025-04-09,2026-02-06,unmatched,N,0.271,0.257,,,,,,"1 shared tokens, category fit",0.271,Squeegee-Off Glass Cleaner Gallon Ettore,30200,JRacenstein,"1 shared tokens, category fit",0.257,Bucket 3 1/2 Gal Ettore Round - each,82222,JRacenstein,"1 shared tokens, category fit",,,,,
None,SealThane 2 Part Full Kit,165131A,,1,3,870.00,0.00,870.00,2026-02-12,2026-02-12,unmatched,N,0.511,0.491,,,,,,4 shared tokens,0.511,SEALTHANE Natural Matte 2 Part Urethane Full Kit,59705,INSECO,4 shared tokens,0.491,SEALTHANE 2 Part Gloss Urethane Wet Look Full Kit,INSECO-SEALTHANE-2-PART-GLOSS-URETHANE,INSECO,4 shared tokens,,,,,
EaCo Chem,A.R.T. 1 Gallon,ART1,,5,5,829.98,0.00,829.98,2025-10-31,2026-02-25,unmatched,N,0.527,0.524,,,,,,"1 shared tokens, category fit",0.527,Graf-Ex - 1 Gallon,EACOCH-GRAF-EX-1-GALLON,EacoChem,"1 shared tokens, category fit",0.524,C-Tar Melt - 1 Gallon,EACOCH-C-TAR-MELT-1-GALLON,EacoChem,"1 shared tokens, category fit",0.516,HD Britenol - 1 Gallon,EACOCH-HD-BRITENOL-1-GALLON,EacoChem,"1 shared tokens, category fit"
None,Coil for burner,F233301,,1,1,825.27,0.00,825.27,2025-11-04,2025-11-04,unmatched,N,0.384,0.318,,,,,,2 shared tokens,0.384,COIL BURNER DBG152/203,660009,BE,2 shared tokens,0.318,COIL BURNER DHS354 DBG254/304,660011,BE,2 shared tokens,0.197,"HOT BOX, VERTICAL, NG, 4GPM, 115VAC 24VDC 147 COIL, X44 BURNER",973NGV-EI,BE,2 shared tokens
Trident,Trident Roller Solvent,351586D,,18,54,781.00,0.00,781.00,2025-03-19,2026-02-09,unmatched,N,0.290,0.290,,,,,,category fit,0.290,Hurricane Cat 5 Full Kit,TRIDEN-HURRICANE-CAT-5-24-KITS-KIT,Trident,category fit,0.290,Hurricane Cat 4 Full Kit,TDS-HURRICAT4K,Trident,category fit,0.287,Point Break - 4 Gallon Case (per gallon),TDC-POINTBREAKG,Trident,category fit
None,beckett oil burner,af35xpdc,,1,1,753.58,0.00,753.58,2025-11-04,2025-11-04,unmatched,N,0.517,0.396,,,,,,2 shared tokens,0.517,Beckett ADC Burner Assy,PRO101,MPWSR,2 shared tokens,0.396,Beckett Burner Gasket 31802,31802,MPWSR,2 shared tokens,0.389,"KIT, OIL SEAL",RKI083,BE,1 shared tokens
Tagaway/Taginator,Taginator 1 Gal.,197811J,,9,11,742.50,0.00,742.50,2025-03-18,2026-02-24,unmatched,N,0.271,0.257,,,,,,"1 shared tokens, category fit",0.271,Squeegee-Off Glass Cleaner Gallon Ettore,30200,JRacenstein,"1 shared tokens, category fit",0.257,Bucket 3 1/2 Gal Ettore Round - each,82222,JRacenstein,"1 shared tokens, category fit",,,,,
None,PSR Paver Sealer Remover Spray,1051044,,1,2,740.00,0.00,740.00,2026-01-16,2026-01-16,unmatched,N,0.725,0.718,,,,,,"5 shared tokens, name contains match",0.725,PSR Paver Sealer Remover Spray Gallon,20021,INSECO,"5 shared tokens, name contains match",0.718,PSR Paver Sealer Remover Spray Five,20025,INSECO,"5 shared tokens, name contains match",0.602,PSR Paver Sealer Remover Gel Gallon,20031,INSECO,4 shared tokens
Parts,RED100- Red Hose 100',RED100,,5,7,738.50,0.00,738.50,2025-10-16,2026-03-09,unmatched,N,0.390,0.385,,,,,,"2 shared tokens, category fit",0.390,GP SS 100' HAND CARRY HOSE REEL 5000 PSI,7016,Barrens,"2 shared tokens, category fit",0.385,"100' Black 4000 PSI 1/2"" 2 wire hose",HOS535/6MP,MPWSR,"2 shared tokens, category fit",0.382,"PVC POLYBRAID HOSE 1/4"" X 2.2MM X 100'",2417,Barrens,"2 shared tokens, category fit"
Chemicals,Potassium Hydroxide 45 lbs,554268Q,,4,4,700.00,0.00,700.00,2025-03-29,2025-10-31,unmatched,N,0.417,0.387,,,,,,"1 shared tokens, category fit",0.417,"1/2"" SS 45 Degree El",62183,MPWSR,"1 shared tokens, category fit",0.387,"Brass 45 Deg St El 1/2"" x 1/2""",8/8/3350,MPWSR,"1 shared tokens, category fit",0.349,"1/2"" FPT X 1/2"" MPT 45 Degree Street Elbow",55038,MPWSR,"1 shared tokens, category fit"
EBC,EBC Glide 1 Gallon,F562969,,13,15,652.50,0.00,652.50,2025-04-01,2026-02-24,unmatched,N,0.250,0.170,,,,,,"2 shared tokens, category fit, measure mismatch penalty",0.250,EBC Multipurpose Cleaner and Degreaser - 5 Gallon Pail,1007-24632,EnviroBioCleaner,"2 shared tokens, category fit, measure mismatch penalty",0.170,EBC Multipurpose Cleaner and Degreaser - 55 Gallon Kit,1007-24624,EnviroBioCleaner,"2 shared tokens, category fit, measure mismatch penalty",,,,,
Window Cleaning,Sorbo Black Handle Swivel,470184T,,12,19,636.50,-2.97,633.53,2025-07-18,2026-02-13,unmatched,N,0.443,0.395,,,,,,"1 shared tokens, category fit",0.443,BackFlip Handle Brass,5363,JRacenstein,"1 shared tokens, category fit",0.395,Foam Handle Grip Ettore,JRACEN-FOAM-GRIP,JRacenstein,"1 shared tokens, category fit",0.392,Scrapemaster Handle,JRACEN-SCRAPEMASTER-HANDLE,JRacenstein,"1 shared tokens, category fit"
Chemicals,Screen Magic - 1/2 Gallon concentrate,490807C,,5,6,594.00,0.00,594.00,2025-03-26,2026-01-24,unmatched,N,0.377,0.375,,,,,,"2 shared tokens, category fit",0.377,Pro BRC Brick Restoration Concentrate 1 Gallon,16330-01,MPWSR,"2 shared tokens, category fit",0.375,Supreme BC - 5 Gallon Pail,EACOCH-SUPREME-BC-5-GALLON-PAIL,EacoChem,"1 shared tokens, category fit",0.366,Sabre II - 5 Gallon Pail,EACOCH-SABRE-II-5-GALLON-PAIL,EacoChem,"1 shared tokens, category fit"
None,inseco sealer,165131A,,1,2,580.00,0.00,580.00,2025-12-04,2025-12-04,unmatched,N,0.410,0.350,,,,,,1 shared tokens,0.410,Sealer Cart,SC-DBSW-1,MPWSR,1 shared tokens,0.350,5 Gal Kit Wet Clear Sealer,157-5G,MPWSR,1 shared tokens,0.298,Trident Hurricane CAT 5 Sealer 7 Gallon Kit,TDS-HURRICAT5K,MPWSR,1 shared tokens
None,Bucket cart sparyer,291854G,,1,1,550.00,0.00,550.00,2025-03-26,2025-03-26,unmatched,N,0.376,0.370,,,,,,1 shared tokens,0.376,Bucket Super Sieve Ettore,85301,JRacenstein,1 shared tokens,0.370,Bucket Super Caster Ettore,85200,JRacenstein,1 shared tokens,0.366,Bucket Super Lid Ettore,85100,JRacenstein,1 shared tokens
Sand,Joint Sand PEARL,822064P,,5,18,546.30,0.00,546.30,2025-03-25,2025-08-26,unmatched,N,0.562,0.000,,,,,,"3 shared tokens, category fit, name contains match",0.562,Joint Sand - Pearl - 50 lb bag,TDJ-JOINTINGPRL,Trident,"3 shared tokens, category fit, name contains match",,,,,,,,,,
Tools,Bat Guards,746632T,,2,2,520.00,0.00,520.00,2025-05-06,2025-05-29,unmatched,N,0.185,0.169,,,,,,"1 shared tokens, category fit",0.185,"Wipe'N Dry Black Moss Rubber Floor Squeegees with Splash Guards 24""",48222,JRacenstein,"1 shared tokens, category fit",0.169,"Wipe'N Dry Black Moss Rubber Floor Squeegees with Splash Guards and Brush 18""",48322,JRacenstein,"1 shared tokens, category fit",,,,,
None,tank and fittings,,,1,1,506.53,0.00,506.53,2025-04-02,2025-04-02,unmatched,N,0.334,0.266,,,,,,2 shared tokens,0.334,"TANK, 30 GAL WITH FITTINGS FOR X-2565HSK",85.400.072,BE,2 shared tokens,0.266,"TANK ASSY; 250GAL W/FITTINGS HWTR4013HG250, SEE NOTES",59.159.000,BE,2 shared tokens,,,,,
None,Bolt Down Hoop (1) Each for 425/525/725/1025 Gallon Horizontal Leg Tanks,,,2,4,490.00,0.00,490.00,2025-10-23,2025-12-11,unmatched,N,0.217,0.209,,,,,,1 shared tokens,0.217,"BOLT PACK FOR 2"" WATERPUMP KIT 85.150.201 PUMP KIT",50.002.200,BE,1 shared tokens,0.209,"BOLT PACK FOR 3"" WATERPUMP KIT 85.150.203 PUMP KIT",50.003.200,BE,1 shared tokens,0.207,ST-5VH Flow Switch (Vertical & Horizontal) 5000PSI,6530,Barrens,1 shared tokens
None,A Frame reels,,,1,2,490.00,0.00,490.00,2025-04-02,2025-04-02,unmatched,N,0.412,0.316,,,,,,2 shared tokens,0.412,"STACKING SET; """"A"" FRAME GP REELS ONLY",85.402.015,BE,2 shared tokens,0.316,"STACKRACK FOR 150', 300' & 450' SS A-FRAME REELS",7338,Barrens,"2 shared tokens, name contains match",0.259,"STACKRACK FOR 150', 300' & 450' A-FRAME HOSE REELS",7011,Barrens,2 shared tokens
Tools,"Chapin 1 gal. Bleach Sprayer,",648950G,,18,19,484.50,0.00,484.50,2025-04-08,2026-02-25,unmatched,N,0.375,0.369,,,,,,"1 shared tokens, category fit",0.375,WATER SHADES 1-GAL SLATE BLACK,310-1GSL,MPWSR,"1 shared tokens, category fit",0.369,Water Shades 1 Gallon Barnacle,310-1GBA,MPWSR,"1 shared tokens, category fit",0.368,Pink Stuff 1 Gallon Rust Remover,PINKSTUFF1GALLON,MPWSR,"1 shared tokens, category fit"
None,Custom Amount,,,19,23,480.73,0.00,480.73,2025-04-15,2026-03-06,unmatched,N,0.314,0.235,,,,,,1 shared tokens,0.314,Various Poles Custom Packs,42000,JRacenstein,1 shared tokens,0.235,"LIN FT CUSTOM 4000PSI 3/8"" GRAY NEPTUNE",6596,Barrens,1 shared tokens,0.232,"CUSTOM COIL 12V IGNITOR WAYNE ""M""",5951,Barrens,1 shared tokens
EaCo Chem,Truck Wash Supreme 5,8410624,,3,3,465.00,-6.24,458.76,2025-06-25,2025-12-11,unmatched,N,0.596,0.527,,,,,,"3 shared tokens, category fit",0.596,Truck Wash Supreme SC - 5 Gallon Pail,EACOCH-TRUCK-WASH-SUPREME-SC-5-GALLON-P,EacoChem,"3 shared tokens, category fit",0.527,Truck Wash Supreme SC - 1 Gallon,EACOCH-TRUCK-WASH-SUPREME-SC-1-GALLON,EacoChem,"3 shared tokens, category fit, measure mismatch penalty",0.377,Truck Wash Supreme SC - 55 Gallon Drum,EACOCH-TRUCK-WASH-SUPREME-SC-55-GALLON,EacoChem,"3 shared tokens, category fit, measure mismatch penalty"
Sand,PolySweep PLATINUM,434616G,,5,13,448.50,0.00,448.50,2025-04-01,2026-01-12,unmatched,N,0.550,0.000,,,,,,"2 shared tokens, category fit, name contains match",0.550,Polysweep - Platinum - 50 lb bag,TDP-POLYPLATNM,Trident,"2 shared tokens, category fit, name contains match",,,,,,,,,,
None,12v Water Pump,,,1,1,425.00,0.00,425.00,2025-09-12,2025-09-12,unmatched,N,0.460,0.403,,,,,,2 shared tokens,0.460,6 GPM FloJet 12V Pump,R8601134A,MPWSR,2 shared tokens,0.403,12V SPEED CONTROLLER,7258,Barrens,1 shared tokens,0.381,12V Electric Hose Reel Motor,101316,MPWSR,1 shared tokens
Sand,PolySweep GRAY,Z156106,,4,13,409.50,-5.13,404.37,2025-05-21,2025-10-14,unmatched,N,0.410,0.373,,,,,,"1 shared tokens, category fit",0.410,Polysweep - Grey - 50 lb bag,TDP-POLYGRAY,Trident,"1 shared tokens, category fit",0.373,Polysweep - Black - 50 lb bag,TDP-POLYBLACK,Trident,"1 shared tokens, category fit",0.369,Polysweep - Tan - 50 lb bag,TDP-POLYTAN,Trident,"1 shared tokens, category fit"
Sorbo,Sorbo Handle Swivel,940083A,,6,12,402.00,0.00,402.00,2025-03-21,2026-03-03,unmatched,N,0.413,0.406,,,,,,"1 shared tokens, category fit",0.413,BackFlip Handle Brass,5363,JRacenstein,"1 shared tokens, category fit",0.406,Foam Handle Grip Ettore,JRACEN-FOAM-GRIP,JRacenstein,"1 shared tokens, category fit",0.401,Scrapemaster Handle,JRACEN-SCRAPEMASTER-HANDLE,JRacenstein,"1 shared tokens, category fit"
Tools,EC Jet,213699Y,,3,3,375.00,-2.19,372.81,2025-04-28,2025-11-28,unmatched,N,0.388,0.337,,,,,,"1 shared tokens, category fit",0.388,FOAM-JET KIT,6671,Barrens,"1 shared tokens, category fit",0.337,5.0 ORIFICE FOR FOAM-JET,1644,Barrens,"1 shared tokens, category fit",0.323,ORIFICE #7 FOR X-JET NOZZLES,5282,Barrens,"1 shared tokens, category fit"
None,Shipping,,,1,1,372.45,0.00,372.45,2025-04-15,2025-04-15,unmatched,N,0.399,0.300,,,,,,,0.399,SPRING,1802018000,BE,,0.300,"JA-1"" Bushing",5416,MPWSR,,0.291,MicroSwipe Sponge,59005,JRacenstein,
Manatee,Xforce SS 4 tip bar Ground Force,C338534,,1,1,370.00,0.00,370.00,2025-08-25,2025-08-25,unmatched,N,0.398,0.000,,,,,,"5 shared tokens, category fit",0.398,XForce Stainless Steel Performance 4 Tip Bar for Whisper Wash Surface Cleaner - Ground Force Little Big Guy,HFQ-SP-GF,MPWSR,"5 shared tokens, category fit",,,,,,,,,,
F9,F9 Double Eagle - 1,f974538,,5,8,364.00,0.00,364.00,2025-03-18,2026-03-10,unmatched,N,0.344,0.000,,,,,,"3 shared tokens, category fit, measure mismatch penalty",0.344,F9 Double Eagle Cleaner Degreaser Neutralizer - 5 Gallon Pail,F9DE-P-5,Front9,"3 shared tokens, category fit, measure mismatch penalty",,,,,,,,,,
None,Paint,,,2,4,363.24,0.00,363.24,2025-04-02,2025-09-12,unmatched,N,0.256,0.254,,,,,,"1 shared tokens, name contains match",0.256,NPS Rx Natural Paint Stripper Gel Gallon,20001,INSECO,"1 shared tokens, name contains match",0.254,NPS Rx Natural Paint Stripper Gel Five,20005,INSECO,"1 shared tokens, name contains match",0.251,NPS Rx Natural Paint Stripper Spray Gallon,20011,INSECO,"1 shared tokens, name contains match"
