Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fill in your catalog information below. Avoid some of the most common errors by making sure: 1) each row contains an item name; 2) an item and its variations have the same category and description; 3) GTINs are 8,12, 13, or 14 characters and contain numbers only; and 4) every item referencing an option set has both an option set name and an option value.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created by Square,Example item,Example item name for customers to see,Small,Ounce 1.000,A12345,100% organic soft cotton t-shirt,"Separate multiple categories with a comma. Indicate subcategories by including their category hierarchy with the greater-than symbol. For example: New arrivals, Women’s > Accessories > Hats & Beanies",Sales of this item will be attributed to the Reporting Category in the category sales report.,Search engine display name,Search engine description,Identifier within a URL. Use hyphens instead of spaces.,653412483659,"Visible, Hidden, Unavailable","Physical, Prepared food and beverage, Digital, Donation, Event, Membership, Other",,Social media link title,Social media link description,,,,,24.99,20.99,Y or N,Y or N,Y or N,Y or N,Y or N,Sizes,Small,12.99,KT's Clothes,ABC123,Y or N,10,15,Y or N,5,$10.99,Y or N,10,15,Y or N,5,$10.99
,#2 Section for BRAVOw/ clamp,#2 Section for BRAVOw/clamp,Regular,,T-22-HY-2-WC,This is the correct replacement #2 section for your Tucker® Bravo pole. Made of hybrid material and comes complete with #2 clamp.,Tucker > Water Fed Pole Parts,Tucker,#2 Section for BRAVOw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #2 section for your Tucker® Bravo pole. Made of hybrid material and comes complete with #2 clamp. Available at AZ Cleaning...,2-section-for-bravow-clamp,,Hidden,Physical,2,#2 Section for BRAVOw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #2 section for your Tucker® Bravo pole. Made of hybrid material and comes complete with #2 clamp. Available at AZ Cleaning...,N,N,N,N,87.24,,N,Y,N,Y,N,,,61.07,Tucker,T-22-HY-2-WC,N,,,N,,,Y,,,N,,87.24
,#2 Section for ECO 30w/ Clamp,#2 Section for Tucker®-30,Regular,,T-30-CF-2-WC,This is the correct replacement #2 section for your Tucker® 30 pole. Made of hybrid material and comes complete with #2 clamp.,Tucker > Water Fed Pole Parts,Tucker,#2 Section for Tucker®-30 | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #2 section for your Tucker® 30 pole. Made of hybrid material and comes complete with #2 clamp. Available at AZ Cleaning...,2-section-for-eco-30w-clamp,,Hidden,Physical,2,#2 Section for Tucker®-30 | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #2 section for your Tucker® 30 pole. Made of hybrid material and comes complete with #2 clamp. Available at AZ Cleaning...,N,N,N,N,137.15,,N,Y,N,Y,N,,,96.01,Tucker,T-30-CF-2-WC,N,,,N,,,Y,,,N,,137.15
,#2 Section for ECO 40w/ Clamp,#2 Section for Tucker®-40,Regular,,T-40-CF-2-WC,This is the correct replacement #2 section for your Tucker® 40 pole. Made of carbon fiber and comes complete with #2 clamp.,Tucker > Water Fed Pole Parts,Tucker,#2 Section for Tucker®-40 | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #2 section for your Tucker® 40 pole. Made of carbon fiber and comes complete with #2 clamp. Available at AZ Cleaning Supplies.,2-section-for-eco-40w-clamp,,Hidden,Physical,2,#2 Section for Tucker®-40 | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #2 section for your Tucker® 40 pole. Made of carbon fiber and comes complete with #2 clamp. Available at AZ Cleaning Supplies.,N,N,N,N,137.15,,N,Y,N,Y,N,,,96.01,Tucker,T-40-CF-2-WC,N,,,N,,,Y,,,N,,137.15
,#2 Section for Juniorw/ clamp,#2 Section for Juniorw/clamp,Regular,,T-15-HY-2-WC,This is the correct replacement #2 section for your Tucker® Junior pole. Made of hybrid material and comes complete with #2 clamp.,Tucker > Water Fed Pole Parts,Tucker,#2 Section for Juniorw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #2 section for your Tucker® Junior pole. Made of hybrid material and comes complete with #2 clamp. Available at AZ Cleaning...,2-section-for-juniorw-clamp,,Hidden,Physical,,#2 Section for Juniorw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #2 section for your Tucker® Junior pole. Made of hybrid material and comes complete with #2 clamp. Available at AZ Cleaning...,N,N,N,N,81.24,,N,Y,N,Y,N,,,56.87,Tucker,T-15-HY-2-WC,N,,,N,,,Y,,,N,,81.24
,#2 Section for SIDEKICKw/ Clamp,#2 Section for SIDEKICKw/Clamp,Regular,,T-12-FG-2-WC,This is the correct replacement #2 section for your Tucker® Sidekick pole. Made of yellow fiber glass and comes complete with #2 clamp.,Tucker > Water Fed Pole Parts,Tucker,#2 Section for SIDEKICKw/Clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #2 section for your Tucker® Sidekick pole. Made of yellow fiber glass and comes complete with #2 clamp. Available at AZ...,2-section-for-sidekickw-clamp,,Hidden,Physical,2,#2 Section for SIDEKICKw/Clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #2 section for your Tucker® Sidekick pole. Made of yellow fiber glass and comes complete with #2 clamp. Available at AZ...,N,N,N,N,60.24,,N,Y,N,Y,N,,,42.17,Tucker,T-12-FG-2-WC,N,,,N,,,Y,,,N,,60.24
,#2 Section for SOLAR BOOSTw/ Clamp,#2 Section for SOLAR BOOSTw/Clamp,Regular,,T-27-CF-2-WC,This is the correct replacement #2 section for your Tucker® Solar Boost pole. Made of hybrid material and comes complete with #2 clamp.,Tucker > Water Fed Pole Parts,Tucker,#2 Section for SOLAR BOOSTw/Clamp | AZ Cleaning Supplies,This is the correct replacement #2 section for your Tucker® Solar Boost pole. Made of hybrid material and comes complete with #2 clamp. Available at AZ...,2-section-for-solar-boostw-clamp,,Hidden,Physical,2,#2 Section for SOLAR BOOSTw/Clamp | AZ Cleaning Supplies,This is the correct replacement #2 section for your Tucker® Solar Boost pole. Made of hybrid material and comes complete with #2 clamp. Available at AZ...,N,N,N,N,111.24,,N,Y,N,Y,N,,,77.87,Tucker,T-27-CF-2-WC,N,,,N,,,Y,,,N,,111.24
,#3 Base Section for Juniorw/ clamp,#3 Base Section for Juniorw/clamp,Regular,,T-15-FG-3-WC,This is the correct replacement section for the base of your Tucker® Junior pole. Made of yellow fiber glass material and comes complete with the end cap and #3 clamp.,Tucker > Water Fed Pole Parts,Tucker,#3 Base Section for Juniorw/clamp | AZ Cleaning Supplies,This is the correct replacement section for the base of your Tucker® Junior pole. Made of yellow fiber glass material and comes complete with the end cap and...,3-base-section-for-juniorw-clamp,,Hidden,Physical,2,#3 Base Section for Juniorw/clamp | AZ Cleaning Supplies,This is the correct replacement section for the base of your Tucker® Junior pole. Made of yellow fiber glass material and comes complete with the end cap and...,N,N,N,N,74.49,,N,Y,N,Y,N,,,52.14,Tucker,T-15-FG-3-WC,N,,,N,,,Y,,,N,,74.49
,#3 Base Section for SIDEKICKw/ Clamp,#3 Base Section for SIDEKICKw/Clamp,Regular,,T-12-FG-3-WC,This is the correct replacement #3 section for your Tucker® Sidekick pole. Made of yellow fiber glass and comes complete with end cap and #3 clamp.,Tucker > Water Fed Pole Parts,Tucker,#3 Base Section for SIDEKICKw/Clamp | AZ Cleaning Supplies,This is the correct replacement #3 section for your Tucker® Sidekick pole. Made of yellow fiber glass and comes complete with end cap and #3 clamp. Available...,3-base-section-for-sidekickw-clamp,,Hidden,Physical,2,#3 Base Section for SIDEKICKw/Clamp | AZ Cleaning Supplies,This is the correct replacement #3 section for your Tucker® Sidekick pole. Made of yellow fiber glass and comes complete with end cap and #3 clamp. Available...,N,N,N,N,71.49,,N,Y,N,Y,N,,,50.04,Tucker,T-12-FG-3-WC,N,,,N,,,Y,,,N,,71.49
,#3 Section for 50HMw/ clamp,#3 Section for 50HMw/clamp,Regular,,T-50-HM-3-WC,This is the correct replacement #3 section for your Tucker® 50HM pole. Made of High Modulus material and comes complete with #3 clamp.,Tucker > Water Fed Pole Parts,Tucker,#3 Section for 50HMw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #3 section for your Tucker® 50HM pole. Made of High Modulus material and comes complete with #3 clamp. Available at AZ...,3-section-for-50hmw-clamp,,Hidden,Physical,2,#3 Section for 50HMw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #3 section for your Tucker® 50HM pole. Made of High Modulus material and comes complete with #3 clamp. Available at AZ...,N,N,N,N,230.57,,N,Y,N,Y,N,,,161.40,Tucker,T-50-HM-3-WC,N,,,N,,,Y,,,N,,230.57
,#3 Section for BRAVOw/ clamp,#3 Section for BRAVOw/clamp,Regular,,T-22-HY-3-WC,This is the correct replacement #3 section for your Tucker® Bravo pole. Made of hybrid material and comes complete with #3 clamp.,Tucker > Water Fed Pole Parts,Tucker,#3 Section for BRAVOw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #3 section for your Tucker® Bravo pole. Made of hybrid material and comes complete with #3 clamp. Available at AZ Cleaning...,3-section-for-bravow-clamp,,Hidden,Physical,2,#3 Section for BRAVOw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #3 section for your Tucker® Bravo pole. Made of hybrid material and comes complete with #3 clamp. Available at AZ Cleaning...,N,N,N,N,88.47,,N,Y,N,Y,N,,,61.93,Tucker,T-22-HY-3-WC,N,,,N,,,Y,,,N,,88.47
,#3 Section for ECO 30w/ Clamp,#3 Section for Tucker®-30,Regular,,T-30-CF-3-WC,This is the correct replacement #3 section for your Tucker® 30 pole. Made of hybrid material and comes complete with #3 clamp.,Tucker > Water Fed Pole Parts,Tucker,#3 Section for Tucker®-30 | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #3 section for your Tucker® 30 pole. Made of hybrid material and comes complete with #3 clamp. Available at AZ Cleaning...,3-section-for-eco-30w-clamp,,Hidden,Physical,2,#3 Section for Tucker®-30 | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #3 section for your Tucker® 30 pole. Made of hybrid material and comes complete with #3 clamp. Available at AZ Cleaning...,N,N,N,N,147.86,,N,Y,N,Y,N,,,103.50,Tucker,T-30-CF-3-WC,N,,,N,,,Y,,,N,,147.86
,#3 Section for ECO 40w/ Clamp,#3 Section for Tucker®-40,Regular,,T-40-CF-3-WC,#3 Section for ECO 40w/ Clamp | Official Tucker SKU: T-40-CF-3-WC | Category: Water Fed Pole Parts,Tucker > Water Fed Pole Parts,Tucker,#3 Section for Tucker®-40 | Water Fed Pole Parts | AZ Cleaning Supplies,#3 Section for Tucker®-40. Category: Water Fed Pole Parts. Vendor code: T-40-CF-3-WC. Available at AZ Cleaning Supplies.,3-section-for-eco-40w-clamp,,Hidden,Physical,2,#3 Section for Tucker®-40 | Water Fed Pole Parts | AZ Cleaning Supplies,#3 Section for Tucker®-40. Category: Water Fed Pole Parts. Vendor code: T-40-CF-3-WC. Available at AZ Cleaning Supplies.,N,N,N,N,147.86,,N,Y,N,Y,N,,,103.50,Tucker,T-40-CF-3-WC,N,,,N,,,Y,,,N,,147.86
,#3 Section for SOLAR BOOSTw/ Clamp,#3 Section for SOLAR BOOSTw/Clamp,Regular,,T-27-CF-3-WC,This is the correct replacement #3 section for your Tucker® Solar Boost pole. Made of hybrid material and comes complete with #3 clamp.,Tucker > Water Fed Pole Parts,Tucker,#3 Section for SOLAR BOOSTw/Clamp | AZ Cleaning Supplies,This is the correct replacement #3 section for your Tucker® Solar Boost pole. Made of hybrid material and comes complete with #3 clamp. Available at AZ...,3-section-for-solar-boostw-clamp,,Hidden,Physical,2,#3 Section for SOLAR BOOSTw/Clamp | AZ Cleaning Supplies,This is the correct replacement #3 section for your Tucker® Solar Boost pole. Made of hybrid material and comes complete with #3 clamp. Available at AZ...,N,N,N,N,121.68,,N,Y,N,Y,N,,,85.18,Tucker,T-27-CF-3-WC,N,,,N,,,Y,,,N,,121.68
,#4 Section for 50HMw/ clamp,#4 Section for 50HMw/clamp,Regular,,T-50-HM-4-WC,This is the correct replacement #4 section for your Tucker® 50HM pole. Made of High Modulus material and comes complete with #4 clamp.,Tucker > Water Fed Pole Parts,Tucker,#4 Section for 50HMw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #4 section for your Tucker® 50HM pole. Made of High Modulus material and comes complete with #4 clamp. Available at AZ...,4-section-for-50hmw-clamp,,Hidden,Physical,2,#4 Section for 50HMw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #4 section for your Tucker® 50HM pole. Made of High Modulus material and comes complete with #4 clamp. Available at AZ...,N,N,N,N,241.82,,N,Y,N,Y,N,,,169.28,Tucker,T-50-HM-4-WC,N,,,N,,,Y,,,N,,241.82
,#4 Section for BRAVOw/ clamp,#4 Section for BRAVOw/clamp,Regular,,T-22-HY-4-WC,This is the correct replacement #4 section for your Tucker® Bravo pole. Made of hybrid material and comes complete with #4 clamp.,Tucker > Water Fed Pole Parts,Tucker,#4 Section for BRAVOw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #4 section for your Tucker® Bravo pole. Made of hybrid material and comes complete with #4 clamp. Available at AZ Cleaning...,4-section-for-bravow-clamp,,Hidden,Physical,2,#4 Section for BRAVOw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #4 section for your Tucker® Bravo pole. Made of hybrid material and comes complete with #4 clamp. Available at AZ Cleaning...,N,N,N,N,94.47,,N,Y,N,Y,N,,,66.13,Tucker,T-22-HY-4-WC,N,,,N,,,Y,,,N,,94.47
,#4 Section for ECO 30w/ Clamp,#4 Section for Tucker®-30,Regular,,T-30-CF-4-WC,This is the correct replacement #4 section for your Tucker® 30 pole. Made of hybrid material and comes complete with #4 clamp.,Tucker > Water Fed Pole Parts,Tucker,#4 Section for Tucker®-30 | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #4 section for your Tucker® 30 pole. Made of hybrid material and comes complete with #4 clamp. Available at AZ Cleaning...,4-section-for-eco-30w-clamp,,Hidden,Physical,2,#4 Section for Tucker®-30 | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #4 section for your Tucker® 30 pole. Made of hybrid material and comes complete with #4 clamp. Available at AZ Cleaning...,N,N,N,N,163.83,,N,Y,N,Y,N,,,114.68,Tucker,T-30-CF-4-WC,N,,,N,,,Y,,,N,,163.83
,#4 Section for ECO 40w/ Clamp,#4 Section for Tucker®-40,Regular,,T-40-CF-4-WC,This is the correct replacement #4 section for your Tucker® 40 pole. Made of carbon fiber and comes complete with #4 clamp.,Tucker > Water Fed Pole Parts,Tucker,#4 Section for Tucker®-40 | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #4 section for your Tucker® 40 pole. Made of carbon fiber and comes complete with #4 clamp. Available at AZ Cleaning Supplies.,4-section-for-eco-40w-clamp,,Hidden,Physical,2,#4 Section for Tucker®-40 | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #4 section for your Tucker® 40 pole. Made of carbon fiber and comes complete with #4 clamp. Available at AZ Cleaning Supplies.,N,N,N,N,163.83,,N,Y,N,Y,N,,,114.68,Tucker,T-40-CF-4-WC,N,,,N,,,Y,,,N,,163.83
,#4 Section for SOLAR BOOSTw/ Clamp,#4 Section for SOLAR BOOSTw/Clamp,Regular,,T-27-CF-4-WC,This is the correct replacement #4 section for your Tucker® Solar Boost pole. Made of hybrid material and comes complete with #4 clamp.,Tucker > Water Fed Pole Parts,Tucker,#4 Section for SOLAR BOOSTw/Clamp | AZ Cleaning Supplies,This is the correct replacement #4 section for your Tucker® Solar Boost pole. Made of hybrid material and comes complete with #4 clamp. Available at AZ...,4-section-for-solar-boostw-clamp,,Hidden,Physical,2,#4 Section for SOLAR BOOSTw/Clamp | AZ Cleaning Supplies,This is the correct replacement #4 section for your Tucker® Solar Boost pole. Made of hybrid material and comes complete with #4 clamp. Available at AZ...,N,N,N,N,124.47,,N,Y,N,Y,N,,,87.13,Tucker,T-27-CF-4-WC,N,,,N,,,Y,,,N,,124.47
,#5 Base Section for BRAVOw/ clamp,#5 Base Section for BRAVOw/clamp,Regular,,T-22-FG-5-WC,This is the correct replacement section for the base of your Tucker® Bravo pole. Made of yellow fiber glass material and comes complete with the end cap and #5 Clamp.,Tucker > Water Fed Pole Parts,Tucker,#5 Base Section for BRAVOw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement section for the base of your Tucker® Bravo pole. Made of yellow fiber glass material and comes complete with the end cap and...,5-base-section-for-bravow-clamp,,Hidden,Physical,2,#5 Base Section for BRAVOw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement section for the base of your Tucker® Bravo pole. Made of yellow fiber glass material and comes complete with the end cap and...,N,N,N,N,83.88,,N,Y,N,Y,N,,,58.72,Tucker,T-22-FG-5-WC,N,,,N,,,Y,,,N,,83.88
,#5 Base Section for ECO 30w/ Clamp,#5 Section for Tucker®-30,Regular,,T-30-FG-5-WC,This is the correct replacement section for the base of your Tucker® 30 pole. Made of yellow fiber glass material and comes complete with the end cap and #5 Clamp.,Tucker > Water Fed Pole Parts,Tucker,#5 Section for Tucker®-30 | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement section for the base of your Tucker® 30 pole. Made of yellow fiber glass material and comes complete with the end cap and #5...,5-base-section-for-eco-30w-clamp,,Hidden,Physical,2,#5 Section for Tucker®-30 | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement section for the base of your Tucker® 30 pole. Made of yellow fiber glass material and comes complete with the end cap and #5...,N,N,N,N,101.73,,N,Y,N,Y,N,,,71.21,Tucker,T-30-FG-5-WC,N,,,N,,,Y,,,N,,101.73
