SKU,Item Name,Canonical Token,Duplicate Token,Vendor,Archived In Import
T-15-HY-2-WC,#2 Section for Juniorw/ clamp,CN6DTHFHMGLPMTHI73LWLX5I,B7ECQ2UDK2WRCQTTFOZ336NL,Tucker,Y
T-12-FG-2-WC,#2 Section for SIDEKICKw/ Clamp,CE3PP4SNG7SFBQKQR2BZZAO4,GVWN7BP3OKENE6B3KCVNXLCP,Tucker,Y
T-27-CF-2-WC,#2 Section for SOLAR BOOSTw/ Clamp,VL4ZKQXED3442N3SVN5E4QAF,KCO6MMB5GVE7CWYU3CNP7CDV,Tucker,Y
T-15-FG-3-WC,#3 Base Section for Juniorw/ clamp,SXI7HWNN4N2QLHWYARANQKUJ,FDOGDEZOLUF2WR5NZL4U4DKD,Tucker,Y
T-12-FG-3-WC,#3 Base Section for SIDEKICKw/ Clamp,PW5D5PAO2VRWFWBLSIIXEI2D,I7TJAKRAMAPE4TI27GEWZ67Z,Tucker,Y
T-50-HM-3-WC,#3 Section for 50HMw/ clamp,VKH5XL6G7OGGSW4CZYRNGNYO,Z3GGSCCKD4S5KGPMSP7A5WRU,Tucker,Y
T-22-HY-3-WC,#3 Section for BRAVOw/ clamp,NU5ZV2WKGWCXOP74IBJJ6MAY,77BCULYKHA4LKCNY6EYE5QKK,Tucker,Y
T-30-CF-3-WC,#3 Section for ECO 30w/ Clamp,3FNK5HJGZ6BJ33GZIGH3PGPV,KNQQGC4AVSVQJ4WLRN64IKJE,Tucker,Y
T-40-CF-3-WC,#3 Section for ECO 40w/ Clamp,ELKXXT6265DOQQ7MCB5NW7AO,SPXC5ZN7EVX42TKDYQ757V34,Tucker,Y
T-27-CF-3-WC,#3 Section for SOLAR BOOSTw/ Clamp,JOLWFZZFBUMQAXQW6R2FTZJA,4WFUZBPEFXAMVRVI6SM7NBAX,Tucker,Y
T-50-HM-4-WC,#4 Section for 50HMw/ clamp,OC3UOH7LQGTAIYUUKTUZZLU2,OXK6HXTBPK2WBDIGUC5SY3ZQ,Tucker,Y
T-22-HY-4-WC,#4 Section for BRAVOw/ clamp,TC3CS3IGHEB43XK24NT7QCH3,TA3ZWIYFCGLIJJVODPHUOPMI,Tucker,Y
T-30-CF-4-WC,#4 Section for ECO 30w/ Clamp,WKVMQ37TLFU7SEB5YJ7M3LSI,XYKPEMG7OIVIFPDAVJ5ONHFM,Tucker,Y
T-40-CF-4-WC,#4 Section for ECO 40w/ Clamp,T3W2LP7Y46FL3NDQ57QBGXY2,CU4ZK5Q7XMSKGECTZNVKRPAV,Tucker,Y
T-27-CF-4-WC,#4 Section for SOLAR BOOSTw/ Clamp,MXZFAPRHTTNHULWNJVAXCSLX,VLBIUNYLCINXGKOD5OD5DCD5,Tucker,Y
T-22-FG-5-WC,#5 Base Section for BRAVOw/ clamp,VJTTUWNFNLNJV5L7HN6Q72SH,LWAE4OAKEG63ARNKJT3E4PUO,Tucker,Y
T-30-FG-5-WC,#5 Base Section for ECO 30w/ Clamp,G6CV4WFTDGRAZOVOFRUAY7SK,OEUYEFFWNJXS7ANPZ36725YQ,Tucker,Y
T-50-HM-5-WC,#5 Section for 50HMw/ clamp,BKBJCGWDVBLZLCZCOZRVCAET,P4247EKC3LGYLVGQK32GSW2A,Tucker,Y
T-40-CF-5-WC,#5 Section for ECO 40w/ Clamp,VRKMXLYFC5VM5NPIPG7AHL74,2BJABZQPX4UDP5CJD3WI23UY,Tucker,Y
T-27-CF-5-WC,#5 Section for SOLAR BOOSTw/ Clamp,XBX66EWT6GDIBSEENP3AIK7O,PQU5EB3ZOWVA42UK2GLPMQB7,Tucker,Y
T-50-HM-6-WC,#6 Section for 50HMw/ clamp,XD7TY3NT667QDQRN7ZUAA246,2ANLI4S2SD2F7L3LFFWSK7GI,Tucker,Y
T-40-CF-6-WC,#6 Section for ECO 40w/ Clamp,CD4D4ZOAOPT6AQVJV5HAOI3N,IZNB7ZD35L2N4MDQSZES34KX,Tucker,Y
T-27-CF-6-WC,#6 Section for SOLAR BOOSTw/ Clamp,EXSGF3QX5XASQU3ZPNGT6XZL,QFOAHBBY2KMMDAQHJV225FJR,Tucker,Y
T-40-FG-7-WC,#7 Base Section for ECO 40w/ Clamp,O3NC5UFE5YRP6DXDTUCURGNC,UWZP5L6STGEWPJXAEOPZOW6P,Tucker,Y
T-27-FG-7-WC,#7 Base Section for SOLAR BOOSTw/ Clamp,QJNA5L2AVBPHOLL23L4HD4WC,VPHBAQBEKHLJGPL3WBUMRR5N,Tucker,Y
T-50-HM-7-WC,#7 Section for 50HMw/ clamp,TK276TYJHFPX6WIX6ANYPW7T,KK7PDGQMWSMF6QECFMNP3WG5,Tucker,Y
T-50-HM-8-WC,#8 Section for 50HMw/ clamp,6SIPIJVGDNJHMII5FOK75RDV,27WVURPI2RXP7BWE3VOSIGTX,Tucker,Y
T-50-FG-9-WC,#9 Base Section for 50HMw/ clamp,XXIURFRD4MMLZCQBH44SP6G5,JG74D7C6A2OTK26SHK5ISQ4T,Tucker,Y
T-9CFWC-50,#9 HM Section for 50' HM w/ clamp,2QP5Q3WEYG6N4JFVBNJ7RPDH,AWNPMADBRO4MV2UOP6UQFGT5,Tucker,Y
6629,"Green Wash Brush 10""",425M7WZNC2Z7KD7RCMU72MTV,XRKTD5TETSKC5O3ITQMGR5N7,Tools,Y
6245,X-jet M5 Jet 4-4.5 GPM #13,LUD5VCEXGOUZTYO7NJ5WQPSN,V2AMOITRD2ZO36NPGOOJ5CDD,Tools,Y
6766,X-jet M5 Jet 5-6.5 GPM #16,GSVDIWWICXPBOUZBORVM3UXO,V7OVD6W22FLI7MEZ7SOUAF2H,Tools,Y
7032,X-jet M5 Jet 7-8 GPM #20,GQVX53TP53TSPXGDQ4A74YM3,IKXM4Y76RDL3I3KOZDTY2H62,Tools,Y
1696,"1696- GP Steel 36"" Dual Lance",ND5PLRAZEDCGUGXE3KAUFNWA,U5UFC2KQLVBYATFOY2MNDRB2,Parts,Y
6431,Clear vinyl hose with detergent filter,22UEHEUBXEOQJDGTAL6MC5US,AXKE6FX3KLFWVZJY64QHGAHO,Parts,Y
3305,"Acid Resistant Wash Brush 10"" - Orange",IL5UJV64FNOX2UVJEAOAOV23,6YSYNJCCVVDJ7T7ZINYKMP27,Tools,Y
4518,VRT3 Unloader Valve,MPRF2PGO66WJMUS4NLKKTY4K,AD4W7XIKUDB46AZLKFWDB6AB,Parts,Y
7013,X-Jet M5DS Twist 2-3 GPM,RYXG62AATIBIP7747SUVQX3O,PI5FPNIBGBWZJF75TPGLWD7Z,Tools,Y
7019,X-Jet M5DS Twist 3-7GPM,2WQH7WFVKFZQGWEY7YJC7IXE,3SFCHMIPHW4HMVOLINRRVJZH,Tools,Y
7020,X-Jet M5DS Twist 7-12GPM,YDFE2LTJJN2RQNZOJEEK4BSZ,DIWX66BH7YJYYESJBUMXRBF7,Tools,Y
7009,General Pump A Fram Reel 300',K3A26466SPV2JQBDUOBBDKWJ,NINSFVM4IX67TYZ34JUB735F,Tools,Y
6329,"6329- Whisper Wash Classic 19"" 4-10gpm / 2000 -4000psi / 212 Deg F Max",QFR55WME7QBMAXIZVHKMNB3I,4NGALBPFJSMFARZQMVBLDWRV,Parts,Y
1299,"1299- Pressure Switch 1/4"" MPT  250v 15amp, Activates at 580 PSI, 4050 PSI Max",U2OI6GHCU2PQPG27LAL46BDY,MQQRU652RXEKYLTAMBPIVTLG,Parts,Y
6717,Whisper Wash 16’ Ultra Clean Hover,PZXXN7D26LBIBGECHP63I4J3,QK4Y2DBKOIGFX25GFBOQSMT5,Tools,Y
6538,Chemical Strainer (Heavy) Brass,XI6SOQKVZWG7FCCHJ2KTLBPP,W4TTO5EIUEG6S5YG3AF6SLEI,Uncategorized,Y
5187,5187- 1/8 MPT  25025,KRIPU3GCH3YZ76T77AMF3TLQ,NLVB2EOHRMXJ6GI5X6BTHT2L,Parts,Y
7008,General Pump A Fram Reel 150',AMFZCFJEL2QNLY7KUVHJUIH4,XPBS77HOFFSMKOF2S5WZ2CCL,Tools,Y
4117,Siphon Drum Pump,HRDCJMAIJ776YUHLDU3BGK67,7YUQVKRBWTCMGAHIMJZQRD3J,Tools,Y
1815,"1/4"" GP Quick Nozzle 15 Degree",VO62MERM7ZJFYTIGIMSJSHSL,NEAXSK7IAA32X6X3QDJYNZOE,Parts,Y
4997,High Pressure Ball Valve,HRMTDRKBRPUPE2J222MOG4CY,ZZIRDOQAUX3RNAKLK5A2STO5,Parts,Y
2582,"3/8"" Hex Coupler / Female Thread",SC5S3M73PWB7U3FDWBLO6IYN,ERIURJ34OV3VM2GZNB6F73WH,Parts,Y
6963,HPC Smooth 3/8 x 100' Gray Pressure Hose,HQOCYUDMCVBWI42EGZ7GDHVH,4UOUR6FNCHWBB7SUIAO2CF5N,Parts,Y
2396,Pressure Spray Gun,YAW27E4XC5SEB4UDVCOFQ7WN,PA5HP3X76WHKUKV4OA6Y3PSG,Tools,Y
1398,"12"" Zinc Plated Lance",AXAU3J4C747IGZSZZYXTB5OQ,ZXUFMVBYZH3OLF5GMOJQJ6XE,Tools,Y
6292,6292- DN10 Heavy Duty Nickel Plated Brass Ball Valve 3/8,WAZXXKQVIUYEN2FCK6BUEANK,6LKZL7JKUSWRTNUX367YLTQ5,Parts,Y
7066,"7066- Water Filter 3/4""",27PLOU2K3MFVW5P3RCDLVLO2,FMWRM2R2BJC4JP2JSQWCOYCM,Parts,Y
6987,"6987- Rupture Disk 1/2"" Inlet - 3/8 Outlet 7000PSI 225 Degrees F",EWOO23QJCXXL7NY2XFZRWCKC,KH4JBZZUQODEWYW4ISKPIEHM,Parts,Y
6955,Suttner ST-2305 Easy Pull Spray Gun Safety Orange,FADY533VWQL2F4NIN3RIJLUM,BXJEDBFSK4YO3MHQAXUMEXJK,Tools,Y
4654,Suttner ST-2305 Easy Pull Spray Gun,PML7FUM5WU7GVRLEGNGPU3CU,PZLVTFL3JNCVNRXCHTCNUYKX,Tools,Y
4539,ST-2605 Relax Action - 12gpm / 5000psi / 300 deg F,BBVRTWZY3752WE56LXP5PKAT,SBENXP2TYXILCRWAXCQHSFO6,Tools,Y
4848,"4848- 1/4"" MPT Nozzle 0 Degree 6 gpm 0006",TGIMWJHALGAISKOBPTJJXHLE,GYR5HP2Q3CKHHNL7VIARIV2B,Parts,Y
3338,"3338- 1/4"" MPT Nozzle 0 Degree 8 gpm",JSRV5AXOIDVPDLWYIIIYOYH3,7LZTPVBN4PHYALGMP52UAE5T,Parts,Y
6441,"6441- 1/4"" MPT Nozzle 15 Degree 3.5 gpm",ULLCJPG47AC4R5I2L2GMLERD,27BSZ5EVLYJMERA32ZB5Q5FY,Parts,Y
6521,"6521- 1/4"" MPT Nozzle 25 Degree 3.5 gpm",DUOS74YMEPJQFCIJXLT6KY2G,5M5ZE6ECVPAYDX25YOVZXXOU,Parts,Y
3656,"1/4"" GP Quick Nozzle 0 Degree",QKGHPBLDUYIS7EOLGCHF6ILD,AJLF5EMXZHIMDRSW4E36DPXL,Parts,Y
5204,"5204- Hex Bushing 1/2"" MPT x 3/8"" FPT",VF4IRKRPIMDD72S42IG2RPDR,PCDU4RK5LHUQXQ3V64PPAJDQ,Parts,Y
6651,"Big Guy 28"" Surface Cleaner",N6H5FR5RYFCQI2KSGZCUIR5U,JIBWSO7ET7QIXPPSHXOSMTMP,Tools,Y
6962,HPC Smooth Cover 3/8 x 50' Gray Pressure Hose,6HVH7ORBW5KB4UBKSKZYFW7F,K7YOVPLJBWISUETRFPXTHUUE,Tools,Y
TUCKER-BRAVO,(BRAVO) Tucker® 22' Hybrid Pole,ZHCDA3MNFFXCO3MW6H6O7NUK,NFRHFFD3YX64R55TOPMFKL4O,Tucker,Y
T-SIDEKICK,(SIDEKICK) Tucker® 6' TRAD Pole,M2ZE5KQDLNBKWVY7NGVTYCD3,PMQS55SQ4472HEAIGVLQJNWS,Tucker,Y
T-50-PRO-DU-150,*CRATED* Spot Free RO/DI 50 Gallon Dual User 150,7R3PVZ5VC2FKNUHZFX6W4G4W,J2J5EXRW6NW4ZXW6QMVPT3U2,Tucker,Y
T-50-PRO-DU-150,Spot Free RO/DI 50 Gallon Dual User 150,7R3PVZ5VC2FKNUHZFX6W4G4W,L5G724QM6F5IVFDJISVVVOOA,Tucker,Y
T-50-PRO-SU-150,*CRATED* Spot Free RO/DI 50 Gallon Single User 150,OTMTWGCF7BEY2CNVO7FNZZGP,EMX3BLVNGRGJ24JVNMETGRAO,Tucker,Y
T-50-PRO-SU-150,Spot Free RO/DI 50 Gallon Single User 150,OTMTWGCF7BEY2CNVO7FNZZGP,RCDQAUG3HJAKEYNVBJIDDNNL,Tucker,Y
12003-A,0-160 psi Pressure Gauge ..Liquid Filled,6MTXI2YCTZF72LIEFVOO42SW,W43LVB6EVOVUABBFCXOQ2CWT,Tucker,Y
12003-A,0-160 psi Pressure Gauge Liquid Filled,6MTXI2YCTZF72LIEFVOO42SW,SYTHRYJFDG5WNRB56US4SIM5,Tucker,Y
12003-A,1/2 NPT x 1/2 Barb..,6MTXI2YCTZF72LIEFVOO42SW,4WQTIQMOGXBXCUWDHCF4UYGG,Tucker,Y
20007,1 cubic foot of Tucker DI resin in Bucket,JOPTY6DCOA3X6D7OELYJS6NY,4WHAGQQRYJBLIFGBS6F6EM67,Tucker,Y
20007,1 cubic foot of Tucker DI resin in Bucket,JOPTY6DCOA3X6D7OELYJS6NY,UV5J7KXLPPNI2KQKYALISFRH,Tucker,Y
60027-10,1/2 Black Tubing (per 10 foot length),WWUWBOZOTIN6LI5GTOK5YRHH,YNZRQWVS2CWTTMDLRW6LD5DW,Tucker,Y
60027-10,1/2 Black Tubing (per 10 foot length),WWUWBOZOTIN6LI5GTOK5YRHH,5BA2DPFQRM44X77ZJSWQ62ED,Tucker,Y
63016,1/2 Brass Nipple Close,CROZQILAWIXBIKC6E7RMC22A,5HU5ABIHBVKNEF2JUOYBGU5H,Tucker,Y
63016,1/2 Brass Nipple Close,CROZQILAWIXBIKC6E7RMC22A,JVAZOWWLYGAUWX65YKTWRFCC,Tucker,Y
63017,1/2 Brass Plug,QYC54VP7DJAPRUI7EHXP3XQ5,RJWJVJQN6FSOVZUONK7M5Q6L,Tucker,Y
63017,1/2 Brass Plug,QYC54VP7DJAPRUI7EHXP3XQ5,44KC23N6DJSUQWAHU3MMVGZL,Tucker,Y
63017,1/2 Brass Plug,QYC54VP7DJAPRUI7EHXP3XQ5,JU6BTZQHZHJ32K2RRITH4J7C,Tucker,Y
63005,1/2 Brass Street Elbow,FWUL5PUGLRNPI3RKBA5WQ7N4,VG3HLVR5QVAZNUZG2N5BBHP7,Tucker,Y
63005,1/2 Brass Street Elbow,FWUL5PUGLRNPI3RKBA5WQ7N4,7TJSGJY5TWI7E5CWC4CBCZZL,Tucker,Y
63005,1/2 x 1/2 Tee w/1/4 female thread,FWUL5PUGLRNPI3RKBA5WQ7N4,LGLT5EM2XJHTDGWL3PYIQHYM,Tucker,Y
63020,1/2 Brass Tee,YIMFIRZKD2AVYQ7S3TCCTSBQ,PAIQ7QCTLCA7MYJ6YOKEGG6H,Tucker,Y
63020,1/2 Brass Tee,YIMFIRZKD2AVYQ7S3TCCTSBQ,CP7VYXMQ4YHT55S2HDJTTIIB,Tucker,Y
63020,1/2 x 1/4 Hex Bushing,YIMFIRZKD2AVYQ7S3TCCTSBQ,7Q6DLBJEAJUOHRWWHPTUUTD4,Tucker,Y
62027,1/2 Elbow Threaded BRASS (FNPT),UABGPY2FSUHH3XATVLPRLYQB,HWZLHFDJV7LITTBTTOQRYIMZ,Tucker,Y
62027,1/2 Elbow Threaded BRASS (FNPT)..,UABGPY2FSUHH3XATVLPRLYQB,BFCKH5PRAC62RVXRHCGSZI7J,Tucker,Y
62027,1/2 x 3/8 PTF Tee,UABGPY2FSUHH3XATVLPRLYQB,VHOXVQKEIAWO2EZW67BUGLAW,Tucker,Y
62039,1/2 FNPT Line Strainer 80mesh,Z2JOB3JNALCXRCSVJ4KQT75P,243K4U5GA6TWT265LLTFWFVP,Tucker,Y
55008,1/2 MPT 90 degree Steel Elbow,NPK55ALMUS6HVGQHPPBULC76,2ARDIQQGR52JGQF7QHRCBFRL,Manatee,Y
63032,1/2 MPT X FGH Swivel,SF4LODRM5GS5YV7ERTVM2GLI,OWWAOXLEYPLEPEQES6P2VYIY,Tucker,Y
63032,1/2 MPT X FGH Swivel,SF4LODRM5GS5YV7ERTVM2GLI,VNCCE6VPOBPNY7H2Q6NAEEJS,Tucker,Y
62028,1/2 Male Thread x 3/8 PTF,PIV55KJB2TDQIIG6RSGWIPFD,YEOF3MD7YWPFI47QSWNQ2T22,Tucker,Y
62028,1/2 Male Thread x 3/8 PTF,PIV55KJB2TDQIIG6RSGWIPFD,JNRMCIZRYQ5XXGIIZBEOHU3I,Tucker,Y
62028,12 volt waterproof rocker switch,PIV55KJB2TDQIIG6RSGWIPFD,AN6BP7Y6KSILBIZHISUD6SJT,Tucker,Y
62035,1/2 NPT x 1/2 Barb,6MEBPN4BS7HICTBRGDLT5P5D,NXLLCOBYBUYEYZGZJGBTFRQ5,Tucker,Y
62038,1/2 PTF Bulkhead,345ZMOK77L3IXZPIJ7BRNMCO,FY2YB3NM7A77YAMIESXPPKTF,Tucker,Y
20008,1/2 Plug for PTF,T47ZUR77FC3PKTOYAEOILP4N,GVWXFRQYAU5KILYFWHHZJU2G,Tucker,Y
20008,4in x 10in Sediment Filter,T47ZUR77FC3PKTOYAEOILP4N,EEOAS75VLUDOIR3PY2MJWJTI,Tucker,Y
20008,4in x 10in Sediment Filter,T47ZUR77FC3PKTOYAEOILP4N,CN7WM634BFLEIWSP3ABWJWYE,Tucker,Y
62003,1/2 Plug for PTF,Z7RFPDHQLJYV65L4OP3KWY6M,QUCFSGHDI26ICMJYVLOK6E3J,Tucker,Y
540486,1/2 X 3/8 HEX NIPPLE,LUODJMEFJORQT2UKUHZXQ22O,4FIJYPITFLB7G4QJAFYLF5I5,Manatee,Y
12032-ELBOW,1/2 Y Divider,X6SRSGFSWIXUVFV6CGT4RWCM,KX5LWNIJE4XSTASUNVNR4STQ,Tucker,Y
12032-ELBOW,1/2 femail ptf to 1/2 male ptf elbow,X6SRSGFSWIXUVFV6CGT4RWCM,SYQ5TMN5ZXEOSPAGPFGS43HK,Tucker,Y
12032-ELBOW,1/2 femail ptf to 1/2 male ptf elbow,X6SRSGFSWIXUVFV6CGT4RWCM,XFGPPSJYJYYXHSHOKEROPPNB,Tucker,Y
62007,1/2 Y Divider,BDZF5CU2GTQSGW4PR5J45L26,TNHYAJFCX46FAGSVHNZ2P764,Tucker,Y
20007.5,1/2 cubic foot of Tucker DI resin in Bucket,6BEJDUKQZGUQYM5B44S3ZFGH,IOBZK2PNVVJPXP4K5EQRDH5K,Tucker,Y
20007.5,1/2 cubic foot of Tucker DI resin in Bucket,6BEJDUKQZGUQYM5B44S3ZFGH,AZEGSYQZNWQNPRBGJK2P7OOQ,Tucker,Y
63009,1/2 female x 3/4 female GHT,7SS7AU24NVQXU267VT7KGJYS,SU3APGQ32OZJMI7M5BFBE7G7,Tucker,Y
63009,1/2 female x 3/4 female GHT,7SS7AU24NVQXU267VT7KGJYS,4WJJC2YJGRLD7YGB46J52VGS,Tucker,Y
63009,1/2in  stem x 1/2in ptf metal ELBOW,7SS7AU24NVQXU267VT7KGJYS,3OCHFV72MUCXGSG2K75C666X,Tucker,Y
63010,1/2 female x 3/4 male GHT,TZF4FYXRR5CCFSIFV67CGD45,IGZ2IFFXIYITNAO4QDQSNOMX,Tucker,Y
63010,1/2 female x 3/4 male GHT,TZF4FYXRR5CCFSIFV67CGD45,R6QA7MOGZ6TD23RSELWT3S7X,Tucker,Y
12023,1/2 hp Motor Dual Phase,7VSB6M62N3TSIVUXGWMGBIF2,IPBTG2L3C5O3IDSX7FRMN5LW,Tucker,Y
12023,1/2 hp Motor Dual Phase,7VSB6M62N3TSIVUXGWMGBIF2,XJE3H56WBLYQOKI5CCUOIEQO,Tucker,Y
12023,1/2 hp Motor Dual Phase,7VSB6M62N3TSIVUXGWMGBIF2,G4CNGLI23H7RWDIAVXYAMRUH,Tucker,Y
62002-M,1/2 male thread x 1/2 PTF Metal,Z7EME2J2IUMLOBMSN7QSHOBX,B53IQTQBHCDZ2DLCYUQK77CD,Tucker,Y
62002-M,1/2 male thread x 1/2 PTF Metal,Z7EME2J2IUMLOBMSN7QSHOBX,JF5JDSHYTDMVXATCL7RABR4N,Tucker,Y
62002-M,1/2x1/2x1/2 Stem Union T-Black,Z7EME2J2IUMLOBMSN7QSHOBX,KG2TA62BHYAU54ZYUNC4KOQD,Tucker,Y
62002-P,1/2 male thread x 1/2 PTF Plastic,6ZKTVL5OQUQWUKD2B725RJAM,JWZ5EIKRRUSPFFVO37TZXU2Z,Tucker,Y
62002-P,1/2 male thread x 1/2 PTF Plastic,6ZKTVL5OQUQWUKD2B725RJAM,BMFXPOHYYPWBCAJRV5OV2VJ3,Tucker,Y
62002-P,1/2 male thread x 1/2 PTF Plastic,6ZKTVL5OQUQWUKD2B725RJAM,2DQBNOVNHWL7I6CXADICBVBP,Tucker,Y
63008,1/2 male thread x 3/4 male GHT Brass,MFGJ4LC2P2QXPSKBBTZSAZPT,ISPS57ETMNGVHXTPBKD7YMGK,Tucker,Y
63008,1/2 male thread x 3/4 male GHT Brass,MFGJ4LC2P2QXPSKBBTZSAZPT,BQWTVQKBXEPLD7AUEP7TP6V5,Tucker,Y
63008,"1/4""M x 5/16"" PTF",MFGJ4LC2P2QXPSKBBTZSAZPT,NRNREWO7L4QQ56P2XHE5GO2P,Tucker,Y
62013,1/2 male x 3/8 ptf elbow reducer GAM,3FT7I6CAMA5N65PSWPLC5MX6,RVBXBIUXCSAG27GBGUQUGALC,Tucker,Y
62013,1/2 male x 3/8 ptf elbow reducer GAM,3FT7I6CAMA5N65PSWPLC5MX6,PJ2ABN3LAQC2JH455PN4DJ23,Tucker,Y
62013,"16""  x 2"" Velcro Strip",3FT7I6CAMA5N65PSWPLC5MX6,M65NG3AAJSN4DFIMH3YLTHHN,Tucker,Y
62018,1/2 x 1/2 PTF 90deg Elbow,VHMDQ2JNDFJVIHYL4IW5KHBB,OXAIORGQSN5XQVSSQERNMCBE,Tucker,Y
62005-TH,1/2 x 1/2 Tee w/ 1/4 female thread,T6FBZ5LSNCSGP4ZC7ZR32ESO,E6DQ3K63Q4IT2CB3QVGOF723,Tucker,Y
63018,1/2 x 1/4 Hex Bushing,P4AYNZPT5GBGLMSC2TZZACEH,ZNSGZMSZTHGJ3VHGRVE44ELD,Tucker,Y
62005,1/2 x 3/8 PTF Tee,YXCBFG26WFQC2IF45KYKQJA2,QQDABKXP7L6OIPKHELQ5N5MV,Tucker,Y
24.0065,"1/2"" FPT ss  socket",W5MOCSZHACB5QX77JOKPLTA2,EWQB6WU2PZWGUIKZSBNRRI7D,Manatee,Y
24.0066,"1/2"" MPT ss socket",TIDTLYUJYOSAMI3FVBSHQHV3,M3Q7N5SC5YBNMZZ7DOXPFUEA,Manatee,Y
63045,"1/2"" X 1/2"" Brass RISER",IK24KKPTV3HL43FEHQGV7QWA,ZG7DEVN5B2ONDAIUD25FPYWP,Tucker,Y
63045,1/2? X 1/2? Brass RISER,IK24KKPTV3HL43FEHQGV7QWA,U7KD3MGEW32HZVUVACNAPOUM,Tucker,Y
62051,"1/2"" male NPT x 1/2"" PTF swiveling Elbow",R7LHFTQL2CUGHE6LKNUHHVP5,GGKBOJ7HW6EJOXPGTALQKWM4,Tucker,Y
62051,"1/2"" male NPT x 1/2"" PTF swiveling Elbow",R7LHFTQL2CUGHE6LKNUHHVP5,UNGM3JPZECZSYHXE4AVQRXJW,Tucker,Y
62004,1/2' PTF Tee Fitting,OUPMFQ2E6LW3UNZOO5EGYLCH,GM4RXXCZTEQS2YCHXHOCVDYH,Tucker,Y
62004,1/2' PTF Tee Fitting,OUPMFQ2E6LW3UNZOO5EGYLCH,7LELTK7YHQW3VMI7YZPD6U3J,Tucker,Y
62001,1/2in  stem x 1/2in ptf Plastic ELBOW,GNGAHSCX7SPDCMQZ7LW6B23O,6DS4X5TPV2Z4ZO6YRITSETCX,Tucker,Y
62001,1/2in stem x 1/2in ptf Plastic ELBOW,GNGAHSCX7SPDCMQZ7LW6B23O,HTDGTJCYZXUHUQIGKID24HJY,Tucker,Y
63028,1/2in Brass Threaded Coupling,YOEEYOHSSME5HB66KYOKD7WO,MDOLWQ76ELNAJFHHE4OKIFYH,Tucker,Y
63028,1/2in Brass Threaded Coupling,YOEEYOHSSME5HB66KYOKD7WO,C3UBR5JFID4RTM2CKYJA3INH,Tucker,Y
21010,1/2in O-Ring for RO Membranes,UQLPKFCR74X7HXDBZHTNJ4Y4,L6HQED6P6KFJI6YQP2H3OGY2,Tucker,Y
63031,1/2in Stem x 3/8in Barb 45 deg,DXHRXZQ3JLGJIDDB6LXTTMRC,CLMOGXOOARAXYQQM457UNOIU,Tucker,Y
63031,1/2in Stem x 3/8in Barb 45 deg,DXHRXZQ3JLGJIDDB6LXTTMRC,DI4L3B2HW4IFRHAIWJ2PXHO7,Tucker,Y
62010,1/2in male thread x 1/2in PTF Elbow,YGY7ZJ26YIVDQVEGW7A4CLIN,G7L4ARZXB6VX2OAEJRAGJ7DG,Tucker,Y
62010,1/2in male thread x 1/2in PTF Elbow,YGY7ZJ26YIVDQVEGW7A4CLIN,Z243OVX5MZMFADWYC223RMM5,Tucker,Y
