Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fill in your catalog information below. Avoid some of the most common errors by making sure: 1) each row contains an item name; 2) an item and its variations have the same category and description; 3) GTINs are 8,12, 13, or 14 characters and contain numbers only; and 4) every item referencing an option set has both an option set name and an option value.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created by Square,Example item,Example item name for customers to see,Small,Ounce 1.000,A12345,100% organic soft cotton t-shirt,"Separate multiple categories with a comma. Indicate subcategories by including their category hierarchy with the greater-than symbol. For example: New arrivals, Women’s > Accessories > Hats & Beanies",Sales of this item will be attributed to the Reporting Category in the category sales report.,Search engine display name,Search engine description,Identifier within a URL. Use hyphens instead of spaces.,653412483659,"Visible, Hidden, Unavailable","Physical, Prepared food and beverage, Digital, Donation, Event, Membership, Other",,Social media link title,Social media link description,,,,,24.99,20.99,Y or N,Y or N,Y or N,Y or N,Y or N,Sizes,Small,12.99,KT's Clothes,ABC123,Y or N,10,15,Y or N,5,$10.99,Y or N,10,15,Y or N,5,$10.99
,In-line TDS Meter Single Probe,In-line TDS Meter Single Probe,Regular,,80012,In-line TDS Meter Single Probe | Official Tucker SKU: 80012 | Category: Catalog,Tucker > Catalog,Tucker,In-line TDS Meter Single Probe | Catalog | AZ Cleaning Supplies,In-line TDS Meter Single Probe. Category: Catalog. Vendor code: 80012. Available at AZ Cleaning Supplies.,in-line-tds-meter-single-probe,,Hidden,Physical,,In-line TDS Meter Single Probe | Catalog | AZ Cleaning Supplies,In-line TDS Meter Single Probe. Category: Catalog. Vendor code: 80012. Available at AZ Cleaning Supplies.,N,N,N,N,73.78,,N,Y,N,Y,N,,,51.65,Tucker,80012,N,,,N,,,Y,,,N,,73.78
,Jet and Rinse Bar Simultaneous Operation Kit for Alpha Brushes,Jet and Rinse Bar Simultaneous Operation Kit for Alpha Brushes,Regular,,T-ALPHA-SIMUL-KIT,"This easy-to-install kit lets you use the rinse bar and brush jets of your Tucker® Alpha series brush at the same time. This kit includes one 5/16"" Y Fitting and two short lengths of standard 5/16"" OD Pole Tubing. Note. The color of the tubing you receive may vary from what is pictured.",Tucker > Accessories,Tucker,Jet and Rinse Bar Simultaneous Operation Kit for Alpha Brushes | AZ...,"This easy-to-install kit lets you use the rinse bar and brush jets of your Tucker® Alpha series brush at the same time. This kit includes one 5/16"" Y Fitting...",jet-and-rinse-bar-simultaneous-operation-kit-for-alpha-brushes,,Hidden,Physical,0.5,Jet and Rinse Bar Simultaneous Operation Kit for Alpha Brushes | AZ...,"This easy-to-install kit lets you use the rinse bar and brush jets of your Tucker® Alpha series brush at the same time. This kit includes one 5/16"" Y Fitting...",N,N,N,N,7.37,,N,Y,N,Y,N,,,5.16,Tucker,T-ALPHA-SIMUL-KIT,N,,,N,,,Y,,,N,,7.37
,Large Battery Box,Large Battery Box,Regular,,12012,Large Battery Box | Official Tucker SKU: 12012 | Category: Catalog,Tucker > Catalog,Tucker,Large Battery Box | Catalog | AZ Cleaning Supplies,Large Battery Box. Category: Catalog. Vendor code: 12012. Available at AZ Cleaning Supplies.,large-battery-box,,Hidden,Physical,,Large Battery Box | Catalog | AZ Cleaning Supplies,Large Battery Box. Category: Catalog. Vendor code: 12012. Available at AZ Cleaning Supplies.,N,N,N,N,37.59,,N,Y,N,Y,N,,,26.31,Tucker,12012,N,,,N,,,Y,,,N,,37.59
,Lichen Removal Agent 1.3 Gal (5L),Lichen Removal Agent 1.3 Gal (5L),Regular,,LRA/5,"Lichen Removal Agent (LRA) is a concentrated removal agent for lichens, mosses and other fungi designed specifically to be used on solar panels, specially in very humid environments and with large amount of organic matter (near forest, agricultural plantations, etc.) LRA is a biodegradable product designed to be as delicate as possible with the components of the solar module (ARC, silicone and aluminium frame). The product will help break the bond between the lichen and the solar glass, making them easier to remove. This is a remediation product and should be used as such. To avoid the recurring use of the product please act preventively and protect your modules with one of our coatings. The coating will seal the glass and any future growth of lichen will not be bonded to it so strongly thus making them easier to remove. Dilution: 1kg of product for 10 litres of water. Use the Dosatron to accurately dilute your pure water! Click here to Download Safety Data Sheet Read the technical...",Tucker > Catalog,Tucker,Lichen Removal Agent 1.3 Gal (5L) | Catalog | AZ Cleaning Supplies,"Lichen Removal Agent (LRA) is a concentrated removal agent for lichens, mosses and other fungi designed specifically to be used on solar panels, specially in...",lichen-removal-agent-1-3-gal-5l,,Hidden,Physical,3,Lichen Removal Agent 1.3 Gal (5L) | Catalog | AZ Cleaning Supplies,"Lichen Removal Agent (LRA) is a concentrated removal agent for lichens, mosses and other fungi designed specifically to be used on solar panels, specially in...",N,N,N,N,114.72,,N,Y,N,Y,N,,,80.31,Tucker,LRA/5,N,,,N,,,Y,,,N,,114.72
,Locking button pin for LOCT system,Locking button pin for LOCT system,Regular,,LOCT-BTN,Locking button pin for LOCT system | Official Tucker SKU: LOCT-BTN | Category: Catalog,Tucker > Catalog,Tucker,Locking button pin for LOCT system | Catalog | AZ Cleaning Supplies,Locking button pin for LOCT system. Category: Catalog. Vendor code: LOCT-BTN. Available at AZ Cleaning Supplies.,locking-button-pin-for-loct-system,,Hidden,Physical,,Locking button pin for LOCT system | Catalog | AZ Cleaning Supplies,Locking button pin for LOCT system. Category: Catalog. Vendor code: LOCT-BTN. Available at AZ Cleaning Supplies.,N,N,N,N,4.48,,N,Y,N,Y,N,,,3.14,Tucker,LOCT-BTN,N,,,N,,,Y,,,N,,4.48
,LOCT Adjustable Tucker Gooseneck w/ Quick Release for #1 Clamp,LOCT Adjustable Tucker Gooseneck w/ Quick Release for #1 Clamp,Regular,,T-GN-V2-LT,This Tucker® gooseneck is designed to fit onto the tip of your Tucker® water fed pole and help you reach over deep window ledges and other tough to clean areas. This design uses a quick release stem that attaches to the #1 clamp of your Tucker® pole for easy adjustment and features the Tucker® LOCT system for further control of the angle of your brush. This first of its kind design offers 3 locking positions and a unique user experience when compared to threaded sockets or square locking sockets.,Tucker > Water Fed Pole Parts,Tucker,LOCT Adjustable Tucker Gooseneck w/ Quick Release for #1 Clamp | AZ...,This Tucker® gooseneck is designed to fit onto the tip of your Tucker® water fed pole and help you reach over deep window ledges and other tough to clean...,loct-adjustable-tucker-gooseneck-w-quick-release-for-1-clamp,,Hidden,Physical,1.001,LOCT Adjustable Tucker Gooseneck w/ Quick Release for #1 Clamp | AZ...,This Tucker® gooseneck is designed to fit onto the tip of your Tucker® water fed pole and help you reach over deep window ledges and other tough to clean...,N,N,N,N,25.85,,N,Y,N,Y,N,,,18.10,Tucker,T-GN-V2-LT,N,,,N,,,Y,,,N,,25.85
,"Loct Brush Socket, Black",LOCT Brush Socket,Regular,,T-BRUSH-LOCT,This piece connects to any Tucker® brush to allow you to utilize the Tucker® LOCT System. The new LOCT system from Tucker® provides the perfect brush position every time. This first of its kind design offers 3 locking positions and a unique user experience when compared to threaded sockets or square locking sockets.,Tucker > Accessories,Tucker,LOCT Brush Socket | Accessories | AZ Cleaning Supplies,This piece connects to any Tucker® brush to allow you to utilize the Tucker® LOCT System. The new LOCT system from Tucker® provides the perfect brush...,loct-brush-socket,,Hidden,Physical,1.001,LOCT Brush Socket | Accessories | AZ Cleaning Supplies,This piece connects to any Tucker® brush to allow you to utilize the Tucker® LOCT System. The new LOCT system from Tucker® provides the perfect brush...,N,N,N,N,12.36,,N,Y,N,Y,N,,,8.65,Tucker,T-BRUSH-LOCT,N,,,N,,,Y,,,N,,12.36
,LOCT end of adjustable Tucker Gooseneck,LOCT End Of Adjustable Tucker® Gooseneck,Regular,,T-GN-ADJ-LOCT,This piece connects to any version of the Tucker® Gooseneck to allow you to utilize the Tucker® LOCT System. The new LOCT system from Tucker® provides the perfect brush position every time. This first of its kind design offers 3 locking positions and a unique user experience when compared to threaded sockets or square locking sockets.,Tucker > Accessories,Tucker,LOCT End Of Adjustable Tucker® Gooseneck | Accessories | AZ Cleaning Supplies,This piece connects to any version of the Tucker® Gooseneck to allow you to utilize the Tucker® LOCT System. The new LOCT system from Tucker® provides the...,loct-end-of-adjustable-tucker-gooseneck,,Hidden,Physical,1.001,LOCT End Of Adjustable Tucker® Gooseneck | Accessories | AZ Cleaning Supplies,This piece connects to any version of the Tucker® Gooseneck to allow you to utilize the Tucker® LOCT System. The new LOCT system from Tucker® provides the...,N,N,N,N,10.11,,N,Y,N,Y,N,,,7.08,Tucker,T-GN-ADJ-LOCT,N,,,N,,,Y,,,N,,10.11
,LOCT Reach Around Gooseneck w/ Quick Release for #1 Clamp,LOCT Reach Around Gooseneck w/ Quick Release for #1 Clamp,Regular,,40001-V2-LT,The Tucker® LOCT Reach Around Gooseneck is designed to fit onto the tip of your Tucker® water fed pole. This design uses a quick release stem that attaches to the #1 clamp of your Tucker® pole for easy adjustment and features the Tucker® LOCT system for further control of the angle of your brush. This first of its kind design offers 3 locking positions and a unique user experience when compared to threaded sockets or square locking sockets.,Tucker > Water Fed Pole Parts,Tucker,LOCT Reach Around Gooseneck w/ Quick Release for #1 Clamp | AZ Cleaning...,The Tucker® LOCT Reach Around Gooseneck is designed to fit onto the tip of your Tucker® water fed pole. This design uses a quick release stem that attaches...,loct-reach-around-gooseneck-w-quick-release-for-1-clamp,,Hidden,Physical,1.001,LOCT Reach Around Gooseneck w/ Quick Release for #1 Clamp | AZ Cleaning...,The Tucker® LOCT Reach Around Gooseneck is designed to fit onto the tip of your Tucker® water fed pole. This design uses a quick release stem that attaches...,N,N,N,N,32.60,,N,Y,N,Y,N,,,22.82,Tucker,40001-V2-LT,N,,,N,,,Y,,,N,,32.60
,LOCT Tip for #1 Clamp,LOCT Tip for #1 Clamp,Regular,,T-LOCT-TIP,LOCT Tip for #1 Clamp | Official Tucker SKU: T-LOCT-TIP | Category: Water Fed Pole Parts,Tucker > Water Fed Pole Parts,Tucker,LOCT Tip for #1 Clamp | Water Fed Pole Parts | AZ Cleaning Supplies,LOCT Tip for #1 Clamp. Category: Water Fed Pole Parts. Vendor code: T-LOCT-TIP. Available at AZ Cleaning Supplies.,loct-tip-for-1-clamp,,Hidden,Physical,,LOCT Tip for #1 Clamp | Water Fed Pole Parts | AZ Cleaning Supplies,LOCT Tip for #1 Clamp. Category: Water Fed Pole Parts. Vendor code: T-LOCT-TIP. Available at AZ Cleaning Supplies.,N,N,N,N,12.32,,N,Y,N,Y,N,,,8.63,Tucker,T-LOCT-TIP,N,,,N,,,Y,,,N,,12.32
,Lubricant Packet,Lubricant Packet,Regular,,T-LUBE,Lubricant packet for O-Rings on RO membranes & housings. Water resistant.,Tucker > Catalog,Tucker,Lubricant Packet | Catalog | AZ Cleaning Supplies,Lubricant packet for O-Rings on RO membranes & housings. Water resistant. Available at AZ Cleaning Supplies.,lubricant-packet,,Hidden,Physical,1.001,Lubricant Packet | Catalog | AZ Cleaning Supplies,Lubricant packet for O-Rings on RO membranes & housings. Water resistant. Available at AZ Cleaning Supplies.,N,N,N,N,6.29,,N,Y,N,Y,N,,,4.41,Tucker,T-LUBE,N,,,N,,,Y,,,N,,6.29
,Male and Female Quick connect for pole hose and garden hose,Male and Female Quick Connect for Pole Hose and Garden Hose,Regular,,60040-005,Male and female quick connect with shutoff valve to attach 5/16 inch pole tubing directly to water system outlet or hose reel. The anodized aluminum male quick connect have a PTF replaceable union fitting built in. The female quick connect uses garden hose threads simply thread onto the end of your garden hose fitting.,Tucker > Water Fed Pole Parts,Tucker,Male and Female Quick Connect for Pole Hose and Garden Hose | AZ Cleaning...,Male and female quick connect with shutoff valve to attach 5/16 inch pole tubing directly to water system outlet or hose reel. The anodized aluminum male...,male-and-female-quick-connect-for-pole-hose-and-garden-hose,,Hidden,Physical,1.001,Male and Female Quick Connect for Pole Hose and Garden Hose | AZ Cleaning...,Male and female quick connect with shutoff valve to attach 5/16 inch pole tubing directly to water system outlet or hose reel. The anodized aluminum male...,N,N,N,N,31.35,,N,Y,N,Y,N,,,21.95,Tucker,60040-005,N,,,N,,,Y,,,N,,31.35
,Manifold for Max output,Manifold for Max output,Regular,,MO-MANIFOLD,Manifold for Max output | Official Tucker SKU: MO-MANIFOLD | Category: Catalog,Tucker > Catalog,Tucker,Manifold for Max output | Catalog | AZ Cleaning Supplies,Manifold for Max output. Category: Catalog. Vendor code: MO-MANIFOLD. Available at AZ Cleaning Supplies.,manifold-for-max-output,,Hidden,Physical,,Manifold for Max output | Catalog | AZ Cleaning Supplies,Manifold for Max output. Category: Catalog. Vendor code: MO-MANIFOLD. Available at AZ Cleaning Supplies.,N,N,N,N,31.60,,N,Y,N,Y,N,,,22.12,Tucker,MO-MANIFOLD,N,,,N,,,Y,,,N,,31.60
,Max Output 110v Complete,Tucker® Max Output 5-Stage RO/DI System,Regular,,T-MO-110,"The Max Output RO/DI System from Tucker® - our first 5 stage system in over a decade! Features: 3+ GPM 110v booster pump Built in inline dual probe TDS meter On/off switch Tucker® DI SAVER MODE (RO Only) and RO/DI modes for different cleaning applications Dual RO - Featuring Tucker Max Flow Sediment pre-filter Carbon pre-filter 20"" refillable DI filter Pressure Regulator All ALUMINUM construction Flat free wheels 2 year warranty Dimensions (WxHxD): 18.5"" x 52.75"" x 16.75"" Read the manual for this system HERE. All Tucker® brand purification systems come with a 2 year warranty and are assembled in the US. Any Tucker® system you buy will come with your first set of replacement sediment, carbon, and DI filters included at no extra cost! No more worrying about not having an extra filter on hand when you need it.",Tucker > Catalog,Tucker,Tucker® Max Output 5-Stage RO/DI System | Catalog | AZ Cleaning Supplies,The Max Output RO/DI System from Tucker® - our first 5 stage system in over a decade! Features: 3+ GPM 110v booster pump Built in inline dual probe TDS meter...,tucker-max-output-5-stage-ro-di-system,,Hidden,Physical,199.999,Tucker® Max Output 5-Stage RO/DI System | Catalog | AZ Cleaning Supplies,The Max Output RO/DI System from Tucker® - our first 5 stage system in over a decade! Features: 3+ GPM 110v booster pump Built in inline dual probe TDS meter...,N,N,N,N,6055.32,,N,Y,N,Y,N,,,4238.72,Tucker,T-MO-110,N,,,N,,,Y,,,N,,6055.32
,Tucker H2Pro WP,Tucker H2Pro WP,Regular,,H2PROWP,"If you are considering a purification system that has lower cost of maintenance than other systems on the market and much longer intervals between filter changes well the H2pro is an excellent choice. The DI on this system has a capacity over 3 times that on a Tucker® Rival or comparable RO/DI system. The Carbon on this system has a capacity 15 times higher than that of a common carbon filter. These Tucker® made in USA filters are just better and last longer than off the shelf filters on other systems. Same yourself big money on filter costs. These systems are work horses from day one, proven by over 10 years of sales and reliability in the field. Comes with the built in Tucker® DI saver option that allows you to bypass the DI filter and work with pure RO water in various application, lowering your cost of maintenance considerably. Features include: 1 GPM on average source pressure Tucker® DI SAVER MODE (RO Only) and RO/DI modes for different cleaning applications. 30"" carbon...",Tucker > Pure Water Systems,Tucker,Tucker H2Pro WP | Pure Water Systems | AZ Cleaning Supplies,If you are considering a purification system that has lower cost of maintenance than other systems on the market and much longer intervals between filter...,water-powered-h2pro-by-tucker,,Hidden,Physical,62.501,Tucker H2Pro WP | Pure Water Systems | AZ Cleaning Supplies,If you are considering a purification system that has lower cost of maintenance than other systems on the market and much longer intervals between filter...,N,N,N,N,3975.00,,N,Y,N,Y,N,,,2869.30,Tucker,10041-SS,N,,,N,,,Y,,,N,,3975.00
