Batch Number,Batch Row,Square Token,Reference Handle,SKU,Square Item Name,Square Variation Name,Catalog Item Name,Customer-facing Name,Reporting Category,Default Vendor Name,Local Image Filename,Local Image Relative Path,Local Image Absolute Path,Website Image URL
1,17,MFGJ4LC2P2QXPSKBBTZSAZPT,#1-2-male-thread-x-3-4-male-ght-brass-,63008,1/2 male thread x 3/4 male GHT Brass,,1/2 male thread x 3/4 male GHT Brass,"1/2"" MNPT x 3/4"" MGHT",Tucker,Tucker,63008.png,Images\Tucker images\63008.png,C:\Codex\AZCS Inventory\Images\Tucker images\63008.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/12-mnpt-x-34-mght-5372291.png?v=1752311854
1,18,PIV55KJB2TDQIIG6RSGWIPFD,#1-2-male-thread-x-3-8-ptf-,62028,1/2 Male Thread x 3/8 PTF,,1/2 Male Thread x 3/8 PTF,1/2 Male Thread x 3/8 PTF,Tucker,Tucker,62028.png,Images\Tucker images\62028.png,C:\Codex\AZCS Inventory\Images\Tucker images\62028.png,
1,19,3FT7I6CAMA5N65PSWPLC5MX6,#1-2-male-x-3-8-ptf-elbow-reducer-gam-,62013,1/2 male x 3/8 ptf elbow reducer GAM,,1/2 male x 3/8 ptf elbow reducer GAM,1/2 male x 3/8 ptf elbow reducer GAM,Tucker,Tucker,62013.png,Images\Tucker images\62013.png,C:\Codex\AZCS Inventory\Images\Tucker images\62013.png,
1,20,OWWAOXLEYPLEPEQES6P2VYIY,#1-2-mpt-x-fgh-swivel-,63032,1/2 MPT X FGH Swivel,,1/2 MPT X FGH Swivel,"1/2"" MPT X FGH Swivel Inlet",Tucker,Tucker,63032.png,Images\Tucker images\63032.png,C:\Codex\AZCS Inventory\Images\Tucker images\63032.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/RHG-58.jpg?v=1746392864
1,21,GVWXFRQYAU5KILYFWHHZJU2G,#1-2-plug-for-ptf-,20008,1/2 Plug for PTF,,4in x 10in Sediment Filter,4in x 10in Sediment Filter,Tucker,Tucker,20008.png,Images\Tucker images\20008.png,C:\Codex\AZCS Inventory\Images\Tucker images\20008.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/4in-x-10in-sediment-filter-5845327.png?v=1753306187
1,22,KX5LWNIJE4XSTASUNVNR4STQ,#1-2-y-divider-,12032-ELBOW,1/2 Y Divider,,1/2 femail ptf to 1/2 male ptf elbow,12 volt RO Boost Pump Elbow,Tucker,Tucker,12032-ELBOW.png,Images\Tucker images\12032-ELBOW.png,C:\Codex\AZCS Inventory\Images\Tucker images\12032-ELBOW.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/products/12-volt-ro-boost-pump-elbow-971061.jpg?v=1746393107
1,23,R7LHFTQL2CUGHE6LKNUHHVP5,#1-2-male-npt-x-1-2-ptf-swiveling-elbow-,62051,"1/2"" male NPT x 1/2"" PTF swiveling Elbow",,"1/2"" male NPT x 1/2"" PTF swiveling Elbow","1/2"" Male NPT x 1/2"" PTF Swiveling Elbow",Tucker,Tucker,62051.png,Images\Tucker images\62051.png,C:\Codex\AZCS Inventory\Images\Tucker images\62051.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/products/12-male-npt-x-12-ptf-swiveling-elbow-549944.jpg?v=1746392524
1,24,OUPMFQ2E6LW3UNZOO5EGYLCH,#1-2-ptf-tee-fitting-,62004,1/2' PTF Tee Fitting,,1/2' PTF Tee Fitting,1/2' PTF Tee Fitting,Tucker,Tucker,62004.png,Images\Tucker images\62004.png,C:\Codex\AZCS Inventory\Images\Tucker images\62004.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/RHG-69.jpg?v=1746392872
1,25,U7KD3MGEW32HZVUVACNAPOUM,#1-2-x-1-2-brass-riser-,63045,1/2? X 1/2? Brass RISER,,"1/2"" X 1/2"" Brass RISER","1/2"" X 1/2"" Brass RISER",Tucker,Tucker,63045.png,Images\Tucker images\63045.png,C:\Codex\AZCS Inventory\Images\Tucker images\63045.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/12-x-12-brass-riser-381610.png?v=1747822942
1,26,6DS4X5TPV2Z4ZO6YRITSETCX,#1-2in-stem-x-1-2in-ptf-plastic-elbow-,62001,1/2in  stem x 1/2in ptf Plastic ELBOW,,1/2in stem x 1/2in ptf Plastic ELBOW,"1/2"" Stem x 1/2"" PTF Elbow",Tucker,Tucker,62001.png,Images\Tucker images\62001.png,C:\Codex\AZCS Inventory\Images\Tucker images\62001.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/12-stem-x-12-ptf-elbow-692545.jpg?v=1746392880
1,27,YOEEYOHSSME5HB66KYOKD7WO,#1-2in-brass-threaded-coupling-,63028,1/2in Brass Threaded Coupling,,1/2in Brass Threaded Coupling,1/2in Brass Threaded Coupling,Tucker,Tucker,63028.png,Images\Tucker images\63028.png,C:\Codex\AZCS Inventory\Images\Tucker images\63028.png,
1,28,YGY7ZJ26YIVDQVEGW7A4CLIN,#1-2in-male-thread-x-1-2in-ptf-elbow-,62010,1/2in male thread x 1/2in PTF Elbow,,1/2in male thread x 1/2in PTF Elbow,1/2in male thread x 1/2in PTF Elbow,Tucker,Tucker,62010.png,Images\Tucker images\62010.png,C:\Codex\AZCS Inventory\Images\Tucker images\62010.png,
1,29,DXHRXZQ3JLGJIDDB6LXTTMRC,#1-2in-stem-x-3-8in-barb-45-deg-,63031,1/2in Stem x 3/8in Barb 45 deg,,1/2in Stem x 3/8in Barb 45 deg,1/2in Stem x 3/8in Barb 45 deg,Tucker,Tucker,63031.png,Images\Tucker images\63031.png,C:\Codex\AZCS Inventory\Images\Tucker images\63031.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/12in-stem-x-38in-barb-45-deg-134014.png?v=1747822943
1,30,DKLOY7LIPLUX7XDV7ACTYKHW,#1-2in-x-3-8in-brass-face-bushing-,63029,1/2in x 3/8in Brass Face Bushing,,1/2in x 3/8in Brass Face Bushing,1/2in x 3/8in Brass Face Bushing,Tucker,Tucker,63029.png,Images\Tucker images\63029.png,C:\Codex\AZCS Inventory\Images\Tucker images\63029.png,
1,31,6O5MDSJPAFKOIACG3E3VA7RW,#2-piece-ext-kit-w-sec-eco-6-and-eco-7-,ECO-40-EXT,2 Piece Ext Kit w/ Sec ECO-6 and ECO-7,,2 Piece Ext Kit w/ Sec ECO-6 and ECO-7,2 Piece Extension Kit for 30,Tucker,Tucker,ECO-40-EXT.png,Images\Tucker images\ECO-40-EXT.png,C:\Codex\AZCS Inventory\Images\Tucker images\ECO-40-EXT.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/products/2-piece-extension-kit-for-eco-30-472040.jpg?v=1746392514
1,32,YUZDLGQQ2TIB7H4DE3T6EJPP,#2-piece-ext-kit-w-sec-eco-8-and-eco-9-,ECO-50-EXT,2 Piece Ext Kit w/ Sec ECO-8 and ECO-9,,2 Piece Ext Kit w/ Sec ECO-8 and ECO-9,2 Piece Extension Kit for Tucker® 40,Tucker,Tucker,ECO-50-EXT.png,Images\Tucker images\ECO-50-EXT.png,C:\Codex\AZCS Inventory\Images\Tucker images\ECO-50-EXT.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/products/2-piece-extension-kit-for-eco-40-532215.jpg?v=1746392517
1,33,ZL7HNJWRCEQRFTFDULQIVRDC,#2-piece-extension-for-eco-mini-,ECO-MINI-EXT,2 Piece Extension for ECO-MINI,,2 Piece Extension for ECO-MINI,Tucker® - MINI Extension,Tucker,Tucker,ECO-MINI-EXT.png,Images\Tucker images\ECO-MINI-EXT.png,C:\Codex\AZCS Inventory\Images\Tucker images\ECO-MINI-EXT.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/products/tucker-mini-extension-227103.jpg?v=1746392690
1,34,SGFD37YKZ4GZDA6WISXF2KQZ,#2-x10-velcro-strip-,V10X2,"2""x10"" Velcro Strip",,"2""x10"" Velcro Strip (Single strip)",SINGLE Replacement Velcro for Alpha Scrubber STD Size,Tucker,Tucker,V10X2.png,Images\Tucker images\V10X2.png,C:\Codex\AZCS Inventory\Images\Tucker images\V10X2.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/products/replacement-velcro-for-alpha-scrubber-std-size-465515.jpg?v=1746392728
1,35,XXU52ZDCLYJDX3KO6KWHR3XM,#2-5in-x-10in-carbon-filter-,20026,2.5in x 10in Carbon Filter,,2.5in x 10in Carbon Filter,2.5in x 10in Carbon Filter,Tucker,Tucker,20026.png,Images\Tucker images\20026.png,C:\Codex\AZCS Inventory\Images\Tucker images\20026.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/25in-x-10in-carbon-filter-3216207.png?v=1753306185
1,36,WE5NTNBNJHLSNK5UVKBGMMSH,#2-5in-x-10in-carbon-filter-chloramine-killer-,20026-CK,2.5in x 10in Carbon Filter / Chloramine Killer,,2.5in x 10in Carbon Filter / Chloramine Killer,2.5in x 10in Carbon Filter / Chloramine Killer,Tucker,Tucker,20026-CK.jpeg,Images\Tucker images\20026-CK.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\20026-CK.jpeg,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/25in-x-10in-carbon-filter-chloramine-killer-1156201.jpg?v=1753306185
1,37,IX25QWFCTRWB6ENHMIZNFTGP,#21in-filter-insert-empty--,20051,21in Filter Insert (EMPTY),,21in Filter Insert (EMPTY),"4 x 21"" Filter Cartridge - Refillable",Tucker,Tucker,20051.png,Images\Tucker images\20051.png,C:\Codex\AZCS Inventory\Images\Tucker images\20051.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/4-x-21-filter-cartridge-refillable-3531453.png?v=1771283659
1,38,NFQ4Q34OX5WRTFAG56BKXJS3,#21in-max-flow-reverse-osmosis-membrane-,20051-RO,21in Max-Flow Reverse Osmosis Membrane,,DISCONTINUED - 21in Max-Flow Reverse Osmosis Membrane,DISCONTINUED - 21in Max-Flow Reverse Osmosis Membrane,Tucker,Tucker,20051-RO.png,Images\Tucker images\20051-RO.png,C:\Codex\AZCS Inventory\Images\Tucker images\20051-RO.png,
1,39,RLBGAKNW5NCB3C5HYA26DRYA,#3-pack-of-filters-for-hydrocart-,20025-3,3 pack of filters for hydrocart,,3 pack of filters for hydrocart,3 pack of filters for hydrocart,Tucker,Tucker,20025-3.png,Images\Tucker images\20025-3.png,C:\Codex\AZCS Inventory\Images\Tucker images\20025-3.png,
1,40,VRIXEJNXBWRIWIAJM64ETZF7,#3-way-valve-smartwash-,62029,3 way Valve - SmartWash,,3 way Valve - SmartWash,3 way Valve - SmartWash,Tucker,Tucker,62029.png,Images\Tucker images\62029.png,C:\Codex\AZCS Inventory\Images\Tucker images\62029.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/3-way-valve-smartwash-628091.png?v=1747822945
1,41,NJGBTVYG5YM22W3OBS5ELNVU,#3-4-fnptx-3-4-fght-brass-swivel-,63027,3/4 FNPTx 3/4 FGHT Brass Swivel,,3/4 FNPTx 3/4 FGHT Brass Swivel,3/4 FNPTx 3/4 FGHT Brass Swivel,Tucker,Tucker,63027.png,Images\Tucker images\63027.png,C:\Codex\AZCS Inventory\Images\Tucker images\63027.png,
1,42,7L7322J4XLSSFSUBWXT4XIZF,#3-4-x-1-2-reducer-bushing-,63024,3/4 x 1/2 Reducer Bushing,,3/4 x 1/2 Reducer Bushing,3/4 x 1/2 Reducer Bushing,Tucker,Tucker,63024.jpeg,Images\Tucker images\63024.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\63024.jpeg,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/34-x-12-reducer-bushing-2336473.png?v=1752311550
1,43,TYHFEAHJ6UVQKY6SPKSZ7J5P,#3-4-x-3-4-mght-x-mpt-,63026,3/4 x 3/4 MGHT x MPT,,3/4 x 3/4 MGHT x MPT,3/4 x 3/4 MGHT x MPT,Tucker,Tucker,63026.png,Images\Tucker images\63026.png,C:\Codex\AZCS Inventory\Images\Tucker images\63026.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/34-mpt-x-34-mght-254240.jpg?v=1746392875
1,44,HC7UBOF6PY6JLKIISACRXJGT,#3-8-barb-x-1-2-male-thread-,63001,3/8 barb x 1/2 male thread,,3/8 barb x 1/2 male thread,3/8 barb x 1/2 male thread,Tucker,Tucker,63001.png,Images\Tucker images\63001.png,C:\Codex\AZCS Inventory\Images\Tucker images\63001.png,
1,45,HMPSNEVPEM2G2RNAJGU4WNSA,#3-8-barb-x-1-4-male-thread-,63002,3/8 barb x 1/4 male thread,,3/8 barb x 1/4 male thread,3/8 barb x 1/4 male thread,Tucker,Tucker,63002.png,Images\Tucker images\63002.png,C:\Codex\AZCS Inventory\Images\Tucker images\63002.png,
1,46,FN4QEG63MKOKCH76ZGXAUFOK,#3-8-barb-x-3-4-female-ght-,63004,3/8 barb x 3/4 female GHT,,3/8 barb x 3/4 female GHT,3/8 barb x 3/4 female GHT,Tucker,Tucker,63004.png,Images\Tucker images\63004.png,C:\Codex\AZCS Inventory\Images\Tucker images\63004.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/38-barb-x-34-female-ght-346145.png?v=1746392045
1,47,E3Y7IOQKKP66J7TJAFLOWD3O,#3-8-barb-x-3-4-male-ght-,63003,3/8 barb x 3/4 male GHT,,3/8 barb x 3/4 male GHT,3/8 barb x 3/4 male GHT,Tucker,Tucker,63003.png,Images\Tucker images\63003.png,C:\Codex\AZCS Inventory\Images\Tucker images\63003.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/38-barb-x-34-male-ght-1301852.png?v=1753306130
1,48,R4WGMOZNSTOS4Q4KCHJQFMQ4,#3-8-male-x-3-8-barb-,63012,3/8 Male x 3/8 Barb,,3/8 Male x 3/8 Barb,"3/8"" Male x 3/8"" Barb",Tucker,Tucker,63012.png,Images\Tucker images\63012.png,C:\Codex\AZCS Inventory\Images\Tucker images\63012.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/products/38-male-x-38-barb-720757.jpg?v=1746392487
1,49,52DLP67ROUDLBE22AXZZCEWR,#3-8-pipe-thread-x-1-2-ptf-,62024,3/8 Pipe Thread x 1/2 PTF,,3/8 Pipe Thread x 1/2 PTF,3/8 Pipe Thread x 1/2 PTF,Tucker,Tucker,62024.png,Images\Tucker images\62024.png,C:\Codex\AZCS Inventory\Images\Tucker images\62024.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/38-pipe-thread-x-12-ptf-3726002.png?v=1753306131
1,50,LUIT24INFQ6M33PS6ZKB2T37,#3-8-ptf-x-1-4-ptf-reducer-,62006,3/8 PTF x 1/4 PTF Reducer,,3/8 PTF x 1/4 PTF Reducer,3/8 PTF x 1/4 PTF Reducer,Tucker,Tucker,62006.png,Images\Tucker images\62006.png,C:\Codex\AZCS Inventory\Images\Tucker images\62006.png,
1,51,PHOUANMRMJO5M4TAPRFLVFZS,#3-8-swivel-for-tucker-reel-,T-1935,3/8 Swivel for Tucker Reel,,3/8 Swivel for Tucker Reel,3/8 Swivel for Tucker Reel,Tucker,Tucker,T-1935.png,Images\Tucker images\T-1935.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-1935.png,
1,52,3FYB3GBSGIV6M3VQUGQFDPRT,#3-8-x-1-2-ptf-gam-,63011,3/8 x 1/2 PTF GAM,,3/8 x 1/2 PTF GAM,3/8 x 1/2 PTF GAM,Tucker,Tucker,63011.png,Images\Tucker images\63011.png,C:\Codex\AZCS Inventory\Images\Tucker images\63011.png,
1,53,BFXKVO7LMX4GYR3PH7ZPO2PE,#3-8in-close-nipple-,63030,3/8in Close Nipple,,3/8in Close Nipple,3/8in Close Nipple,Tucker,Tucker,63030.png,Images\Tucker images\63030.png,C:\Codex\AZCS Inventory\Images\Tucker images\63030.png,
1,54,CSUTL2N7YYTWGSNSLVY3DWSL,#30-stainless-steel-housing-,20054-30-SS,"30"" Stainless Steel Housing",,"30"" Stainless Steel Housing","30"" Stainless Steel Housing",Tucker,Tucker,20054-30-SS.png,Images\Tucker images\20054-30-SS.png,C:\Codex\AZCS Inventory\Images\Tucker images\20054-30-SS.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/30-stainless-steel-housing-137268.jpg?v=1746392197
1,55,QJGXFZOH35QPEVPFRZHETWJG,#30in-carbon-filter-insert-,20066-C,30in Carbon Filter Insert,,30in Carbon Filter Insert,"4 x 30"" Filter Cartridge - Carbon",Tucker,Tucker,20066-C.png,Images\Tucker images\20066-C.png,C:\Codex\AZCS Inventory\Images\Tucker images\20066-C.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/4-x-30-filter-cartridge-carbon-3961844.png?v=1771283660
1,56,K3YRK2UZEG6XSQWIVXKC3TV6,#30in-filter-insert-empty--,20066,30in Filter Insert (EMPTY),,30in Filter Insert (EMPTY),"4 x 30"" Filter Cartridge - Refillable",Tucker,Tucker,20066.png,Images\Tucker images\20066.png,C:\Codex\AZCS Inventory\Images\Tucker images\20066.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/4-x-30-filter-cartridge-refillable-7871270.png?v=1771283656
1,57,H4S47ETF2SMTD4ZS37FHQ45H,#30in-max-flow-custom-ro-membrane-,20066-RO,30in Max-Flow Custom RO Membrane,,30in Max-Flow Custom RO Membrane,"4 x 30"" Max-Flow Reverse Osmosis Membrane",Tucker,Tucker,20066-RO.png,Images\Tucker images\20066-RO.png,C:\Codex\AZCS Inventory\Images\Tucker images\20066-RO.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/products/4-x-30-max-flow-reverse-osmosis-membrane-837497.jpg?v=1746392678
1,58,YRZNQLURYFJVAWPBHBCDOYZR,#4-stage-4060-kit-for-solar-panel-cleaning-,T-SOLAR-4060,4 Stage 4060 Kit for Solar Panel Cleaning,,4 Stage 4060 Kit for Solar Panel Cleaning,Tucker® Water Fed Pole Solar Panel Cleaning Kit w/ 4060,Tucker,Tucker,T-SOLAR-4060.png,Images\Tucker images\T-SOLAR-4060.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-SOLAR-4060.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/tucker-water-fed-pole-solar-panel-cleaning-kit-w-4060-5460982.jpg?v=1766560565
1,59,VR5FTVOOKFQJUSLDJK76TIGY,#4-stage-cart-upgrade-kits-,T-CART-UGK,4 Stage Cart Upgrade Kits,,4 Stage Cart Upgrade Kits,4 Stage Upgrade Kit,Tucker,Tucker,T-CART-UGK.jpeg,Images\Tucker images\T-CART-UGK.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-CART-UGK.jpeg,https://cdn.shopify.com/s/files/1/0558/4191/4998/products/4-stage-upgrade-kit-449429.jpg?v=1746392661
1,60,DBKTRWWYDFY3BS5PSM377CIF,#4-stage-rival-kit-for-solar-panel-cleaning-,T-SOLAR-RIVAL,4 Stage Rival Kit for Solar Panel Cleaning,,4 Stage Rival Kit for Solar Panel Cleaning,Tucker® Water Fed Pole Solar Panel Cleaning Kit w/ Rival - v2,Tucker,Tucker,T-SOLAR-RIVAL.png,Images\Tucker images\T-SOLAR-RIVAL.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-SOLAR-RIVAL.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/tucker-water-fed-pole-solar-panel-cleaning-kit-w-rival-v2-4382632.jpg?v=1766560565
1,61,MP3KAVBTO2A6WPCMOVZNWHQT,#4-x-10in-di-cartridge-blue-white-,20027,4 x 10in DI Cartridge..Blue/White,,4 x 10in DI Cartridge Blue/White,4 x 10in DI Cartridge Blue/White,Tucker,Tucker,20027.png,Images\Tucker images\20027.png,C:\Codex\AZCS Inventory\Images\Tucker images\20027.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/45-x-10-di-filter-580290.jpg?v=1746392980
1,62,GDOFHO56Q2KU75WYWEPKD6W4,#40-stainless-steel-housing-,20054-40-SS,"40"" Stainless Steel Housing",,"40"" Stainless Steel Housing","40"" Stainless Steel Housing",Tucker,Tucker,20054-40-SS.png,Images\Tucker images\20054-40-SS.png,C:\Codex\AZCS Inventory\Images\Tucker images\20054-40-SS.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/40-stainless-steel-housing-899722.jpg?v=1746392201
